"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87"
"UNDERWOOD (D AL-9)",1,0,0,0,0,0,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,1,NA,0,1,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,1,1,0,1,0,0,NA,NA,1,0,1,1,1,0
"MACON (D AR-1)",1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,1,1,1,0,NA,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0
"BRUNDIDGE (D AR-2)",NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1,1,0,1,0,1,NA,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,NA,0,0,NA,NA,1,NA,1,1,1,0
"DINSMORE (D AR-3)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,0,1,1,1,NA,0,0,0,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,0,1,1,1,1,NA,0
"LITTLE (D AR-4)",1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0
"REID (D AR-5)",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,0,0,1,1,NA,NA,NA,NA,1,NA,1,0,NA,NA,0,NA,1,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,0,0,0,NA,1,NA,0,0,0,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"ROBINSON (D AR-6)",1,0,0,0,0,0,0,1,0,1,NA,1,0,1,0,0,1,0,0,1,1,NA,0,1,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,1,1,1,NA,0,NA,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0
"WALLACE (D AR-7)",NA,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,NA,1,1,NA,NA,NA,NA,1,1,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,1,0,0,1,0,1,0,1,1,1,0
"GILLETT (R CA-1)",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,NA,0,1,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,0,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,0,0,0,1,1,1,1,NA,0,NA,1,1,0,1,NA,1,1,1,NA,1,0,1,NA,0,0,NA
"BELL (D CA-2)",1,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,1,NA,1,NA,NA,NA,NA,1,1,0,1,1,1,0,NA,0,NA,NA,0,1,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,NA,NA,0,0,0,NA,0,1,0,1,1,0,0,0,0,1,0,NA,0,0,1,1,1,1,0,0,NA,0,NA,1,1,1,1,0
"METCALF (R CA-3)",1,1,1,1,1,1,NA,NA,1,0,0,0,1,0,1,NA,0,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNOWLAND (R CA-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,0,NA,0,0,1,1
"LIVERNASH (D CA-4)",1,0,0,0,0,NA,NA,1,NA,NA,1,1,0,0,0,0,1,0,0,0,NA,1,0,1,NA,1,1,1,0,1,1,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,NA,NA,NA,0,0,0,0,1,NA,1,0,0,NA,NA,1,1,1,1,1,0
"WYNN (D CA-5)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,1,NA,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,NA,1,0,0,NA,NA,1,1,1,1,1,0
"NEEDHAM (R CA-6)",1,1,1,1,1,1,1,0,1,0,0,0,1,NA,1,1,0,1,1,0,NA,0,1,1,1,1,NA,0,1,1,1,1,1,NA,1,1,1,1,0,NA,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,NA,1,1,1,0,1,1,1,NA,1,0,1,1,NA,0,0,0,NA
"MCLACHLAN (R CA-7)",1,1,1,1,1,1,NA,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,NA,1,0,0,0,1,1,1,1,1,NA,1,1,1,1,0,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,NA,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA
"DANIELS (R CA-8)",1,1,1,1,1,NA,1,0,1,NA,NA,NA,NA,NA,1,NA,0,1,1,1,0,0,1,1,1,0,NA,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0,0,0,NA,NA,1,1,0,0,1,1,1,0,1,NA,NA,1,1,NA,1,1,1,0,0,1,NA
"SHAFROTH (D CO-1)",1,0,0,0,0,NA,0,1,0,1,NA,1,NA,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BONYNGE (R CO-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,NA,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,NA,NA,NA,1,0,NA,1,0,0,1
"HOGG (R CO-2)",1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,NA,1,1,1,0,1,0,NA,1,1,1,1
"BROOKS (R CO-99)",1,1,1,0,1,1,1,0,NA,NA,0,0,1,0,NA,NA,0,1,1,1,NA,0,1,1,NA,0,0,0,1,1,1,1,1,0,NA,1,1,1,NA,1,1,1,1,NA,1,0,1,1,1,NA,1,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,1,NA,NA,0,1,0,0,1,1
"HENRY (R CT-1)",1,1,1,1,1,NA,1,0,1,0,NA,NA,NA,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,NA,0,0,0,0,1
"SPERRY (R CT-2)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,NA,NA,1,0,NA,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDEGEE (R CT-3)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,0,NA,NA,0,1,1,0,0,0,1,1,1,1,0,NA,1,NA,1,NA,1,0,NA,1,1,1,0,1,1,1,1,1,1,0,1,NA,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,0,0,0,1,1,NA,1,NA,0,1,1,1,NA,NA,NA,1,1,1,0,NA,0,1,0,0,1,1
"HILL (R CT-4)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,NA,NA,NA,NA,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,0,0,0,1,1,1,1,NA,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1
"LILLEY (R CT-99)",1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,1,1,0,0,0,1,1,NA,1,NA,0,NA,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,0,NA,NA,1,1,1,1,NA,NA,1,1,1,0,1,NA,1,1,1,0,NA,0,NA,0,0,0,1
"HOUSTON (D DE-1)",1,0,NA,NA,0,NA,0,1,NA,1,NA,1,0,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,NA,NA,0,1,1,1,1,0,NA,NA,1,0,1,0,0,1,1,NA,1,0,0,NA,0,0,1,1,1,NA,0
"SPARKMAN (D FL-1)",1,0,0,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,NA,0,NA,NA,1,1,1,0
"DAVIS (D FL-2)",1,0,NA,NA,0,0,0,1,0,NA,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,0,0,0,0,1,1,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,NA
"LAMAR (D FL-3)",1,NA,0,0,0,NA,0,1,NA,NA,1,1,0,NA,NA,NA,1,0,0,1,1,1,0,1,NA,NA,1,NA,0,1,1,0,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,1,1,0,0,0,NA,NA,NA,NA,0,0,1,1,0,1,0,0,NA,0,1,NA,1,1,1,0
"LESTER (D GA-1)",1,0,0,0,0,0,0,1,NA,NA,1,1,0,0,0,0,1,0,0,0,NA,1,NA,NA,0,0,1,1,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,1,1,1,1,NA,NA,0,0,0,0,0,NA,1,1,NA,1,0,0,1,NA,1,0,NA,1,NA,NA
"GRIGGS (D GA-2)",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,0,1,1,1,NA,NA,0,NA,NA,0,NA,0,0,1,1,0,1,NA,0,1,1,0,NA,1,1,1,0
"LEWIS (D GA-3)",1,0,0,0,0,NA,0,1,0,1,1,1,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,1,0,0,NA,0,0,0,1,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,NA,0,NA,NA,0,NA,1,NA
"ADAMSON (D GA-4)",1,0,0,0,0,0,0,1,NA,NA,1,1,0,NA,0,NA,1,0,0,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,NA,NA,0,0,0,0,1,NA,NA,0,0,0,0,NA,NA,0,1,1,1,1,NA,0,NA,NA,0,1,0,NA,1,1,NA,1,0,0,NA,0,1,NA,1,NA,1,0
"LIVINGSTON (D GA-5)",1,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,1,0,0,1,1,NA,0,1,NA,0,NA,NA,0,1,1,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,1,1,1,NA,0,1,1,NA,0,0,0,0,1,1,NA,1,0,0,NA,NA,0,NA,1,1,1,NA
"BARTLETT (D GA-6)",1,0,0,0,0,0,NA,1,0,NA,1,1,0,1,0,0,1,0,0,0,1,NA,0,1,NA,0,1,1,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,NA,1,1,1,NA
"MADDOX (D GA-7)",1,0,0,0,0,NA,0,1,0,1,NA,NA,NA,1,0,0,1,0,0,0,NA,NA,0,1,0,0,1,1,0,0,0,0,0,1,0,0,NA,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,NA,1,0,0,1,1,1,1,0,0,NA,0,0,NA,0,NA,1,1,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA
"HOWARD (D GA-8)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,NA,1,0,0,1,NA,0,NA,1,1,1,0
"TATE (D GA-9)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,1,0,0,1,0,0,0,1,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,0,NA,NA,NA,1,0
"HARDWICK (D GA-10)",1,0,0,0,0,0,0,1,NA,NA,1,1,0,1,0,0,1,0,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,1,1,1,NA,0,0,0,0,NA,1,0,0,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"BRANTLEY (D GA-11)",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,0,1,0,0,1,1,0,1,1,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,NA,1,0,0,1,0,0,NA,1,NA,1,0
"FRENCH (R ID-1)",1,1,1,1,1,1,1,0,NA,0,0,0,1,0,1,NA,0,1,1,1,NA,NA,NA,NA,1,1,NA,0,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,0,1,NA,1,1,1,0,1,1,1,0,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,NA,1,1,1,0,1,1,1,1,1,NA,1,0,0,0,0,1,1
"EMERICH (D IL-1)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,0,NA,1,0,0,1,NA,NA,0,1,NA,1,1,1,0,1,1,NA,NA,NA,0,0,0,0,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,0
"MANN (R IL-2)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,NA,NA,NA,0,NA,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,0,NA,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
"WILSON (R IL-3)",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,0,0,1,1,NA,NA,NA,0,1,1,1,NA,1,0,NA,1,1,1,NA,1,1,1,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,0,1,1,1,NA,1,1,1,1,1,0,NA,0,NA,0,0,NA,1
"FOSTER (D IL-4)",1,0,0,0,0,NA,NA,NA,0,1,NA,NA,NA,1,0,NA,1,0,0,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,0
"MCANDREWS (D IL-5)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,1,0,NA,1,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0
"LORIMER (R IL-6)",1,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1
