"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84"
"HEYBURN (R ID)",1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,0,1,1,1,0,0,1,0,1,0,NA,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,NA,NA,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1
"HOPKINS (R IL)",0,NA,0,1,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,NA,NA,0,NA,1,0,1,NA,1,0,0,0,1,1,1,1,1,1,0,0,1,1,NA,1,NA,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,1,1,NA,1,1
"CULLOM (R IL)",0,0,1,1,0,1,0,0,0,0,0,0,1,NA,NA,0,0,1,NA,0,NA,NA,1,NA,0,0,1,0,0,0,NA,1,1,1,1,1,0,NA,1,NA,NA,0,1,NA,NA,1,1,1,1,NA,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,NA,1,1,NA,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
"HEMENWAY (R IN)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,1,NA,NA,NA,1,1,1,0,1,NA,1,0,NA,1,0,NA,1,1,1,NA
"BEVERIDGE (R IN)",0,0,NA,0,NA,NA,0,NA,NA,0,0,0,1,NA,0,1,NA,1,NA,NA,0,0,1,1,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,1,1,0,NA,1,1,1,1
"DOLLIVER (R IA)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,1,NA,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,NA,NA,NA
"ALLISON (R IA)",0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,NA,0,0,1,0,NA,NA,1,1,1,1,NA,1,NA,0,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUMMINS (R IA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,0,0,1,1,0,1,1,1,0,1,1,1,1,1
"LONG (R KS)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,NA,NA,NA,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,1,1,1,NA,1,0,1,1,NA,1,1,1,0,1,1,1,1,1
"CURTIS (R KS)",0,0,1,1,0,1,0,0,0,NA,0,0,1,1,1,0,0,1,0,1,0,0,1,NA,0,0,NA,1,NA,1,1,NA,1,1,NA,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,1,0,1,NA,1,0,1,1,1,NA,0,1,1,1,NA,NA,NA,0,1,1,0,1,1,1,0,NA,NA,1,1,1
"MCCREARY (D KY)",0,NA,1,0,1,NA,0,NA,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,NA,1,NA,1,NA,NA,0,NA,1,1,1,0,1,0,0,0,1,0,1,NA,0,0,0,NA,1,1,NA,0,0
"PAYNTER (D KY)",0,NA,0,0,NA,NA,0,0,0,0,1,1,0,NA,1,1,1,0,NA,0,1,0,1,1,1,1,1,1,1,1,NA,0,0,1,0,0,1,0,0,1,NA,0,1,0,0,0,1,0,NA,0,NA,0,1,0,NA,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,NA,1,0,1,NA,NA,0,NA,1,0,1,0,0,NA
"MCENERY (D LA)",0,NA,NA,0,1,0,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,0,NA,NA,1,0,NA,NA,0,NA,1,1,0,NA,NA,NA,NA,1,0,NA,0,1,0,1,NA,NA,NA,NA,NA,0
"FOSTER (D LA)",0,NA,NA,0,1,0,0,NA,0,0,1,1,0,1,NA,NA,1,NA,NA,NA,1,0,1,1,0,1,1,1,1,1,NA,NA,0,1,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,1,0,NA,NA,1,0,1,0,1,0,NA,1,NA,NA,NA,0,0
"FRYE (R ME)",0,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,0,1,1,1,NA,NA,1,0,0,NA,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,1,0,0,1,0,0,0,1,0,1,1,NA,0,1,0,1,1,0,1,1,NA,1,1,1,0,NA,1,1,1,1
"HALE (R ME)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,NA,0,1,0,0,0,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,NA,NA,0,0,1,NA,1,1,NA,1,0,NA,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"RAYNER (D MD)",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,1,0,0,1,NA,1,1,1,1,1,1,1,1,NA,1,1,0,1,NA,NA,NA,0,1,0,1,NA,0,NA
"WHYTE (D MD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMITH (D MD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,1,0,1,0,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,0
"CRANE (R MA)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1,NA,NA,0,NA,0,0,0,1,NA,0,0,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,1,0,1,0,1,0,NA,1,NA,0,1,NA,NA,NA,0,1,NA,0,NA,NA,NA,0,1,1,1,1,1
"LODGE (R MA)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1,1,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,NA,NA,1,1,0,NA,1,1,1,1
"BURROWS (R MI)",0,0,0,1,0,1,0,NA,0,0,0,0,1,1,1,0,0,1,NA,1,0,0,1,0,0,0,1,0,0,NA,0,1,NA,0,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,NA,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,NA,NA,1,1,0,1,1,1,1,1
"SMITH (R MI)",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,NA,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,NA,NA,0,1,1,1,NA,NA,1,1,1,0,NA,NA,0,1,1,0,1,1,1,0,NA,1,NA,NA,NA
"CLAPP (R MN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,1,NA,1,1,1,1,NA,0,0,1,NA,1,1,1,1,1,1,1,NA,0,1,0,0,0,1,0,1,0,1,0,1,1,1,NA,NA,NA,1,1,1,NA,NA,0,1,NA,NA,NA,1,NA,0,1,1,0,1,1
"NELSON (R MN)",NA,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,0,0,1,NA,NA,0,NA,1,1,1,1
"MONEY (D MS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,1,NA,NA,0,0,1,0,0,NA,0,1,1,1,1,NA,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,0,0,0,1,0,0,NA,NA,0,0,1,1,1,1,0,0
"MCLAURIN (D MS)",0,1,1,0,1,0,1,NA,0,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,0,NA,0,1,0,0,0,1,0,1,0,1,0,1,NA,1,1,1,NA,1,0,0,1,0,NA,0,0,0,0,1,1,NA,1,0,0
"WARNER (R MO)",0,0,1,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,1,0,NA,1,1,1,NA,NA,1,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,NA,NA
"STONE (D MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,0,NA,1,1,0,1,NA,0,0,0,1,NA,1,NA,0,0
"DIXON (R MT)",0,0,1,1,NA,NA,0,0,0,0,0,0,1,NA,0,0,1,1,NA,1,0,0,1,1,0,NA,1,0,0,0,1,NA,1,1,0,1,0,0,0,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,NA,0,0,NA,1,1,1,0,1,1,NA,1,1,1,0,NA,NA,1,1,1
"CARTER (R MT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,1,NA,0,1,NA,0,0,1,NA,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,0,1,1,NA,0,1,0,0,NA,1,0,1,0,NA,0,1,0,1,1,0,1,0,1,0,NA,NA,0,1,1,NA,1,1
"BROWN (R NE)",0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,NA,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
"BURKETT (R NE)",0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,NA,1,0,0,0,1,1,1,1,0,1,0,0,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
"NIXON (R NV)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,0,0,1,0,0,NA,NA,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NEWLANDS (D NV)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,NA,1,NA,1,1,NA,0,NA,0,0,NA,0,0,1,NA,0,1,NA,NA,0,0,NA,1,0,1,1,1,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,1,NA,NA,NA,NA,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
"GALLINGER (R NH)",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,1,0,1,1,NA,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,NA,NA,0,1,1,1,1,1
"BURNHAM (R NH)",0,0,NA,1,0,1,0,0,0,0,0,0,1,NA,1,1,0,NA,1,1,NA,0,1,0,0,0,1,0,0,0,0,1,1,1,NA,1,0,1,1,1,0,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,NA,NA,NA,1,1,1,0,1,1,1,0,NA,NA,1,1,1
"KEAN (R NJ)",0,0,0,1,0,1,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,1,NA,NA,NA,0,0,NA,0,0,0,1,1,1,1,1,1,0,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1
"BRIGGS (R NJ)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA,1,1,0,0,1,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,1,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,0,1,NA,NA,0,0,1,0,NA,NA,1,1,0,1,1,NA,1,1
"PLATT (R NY)",NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
