"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111"
"KIDDER (Adams ME-7)",0,0,0,0,1,0,0,1,1,1,1,1,NA,0,1,0,0,1,1,1,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,1,1,NA,0,0,0,0,1,0,1,1,1,NA,1,1,NA,NA,NA,NA,1,0,0,1,0,0,1,0,NA,NA,1,0,1,NA,NA,NA,0,0,0,1,NA,1,0,0,0,0,1,1,1,0,NA,0,1,1,0,0,1,0,0,1,1,NA,1,0,0,1,1,0,0,1,0,1
"DORSEY (Adams MD-1)",1,0,0,0,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,NA,0,0,0,1,0,0,1,NA,1,1,1,1,NA,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,NA,NA,NA,NA,0,1,NA,NA,0,1,0,1,1,1,1,1,NA,0,1,0,1,NA
"KENT (Adams MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEEMS (Jackson MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,NA,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,NA,1,0,0,1,0,0,1,1,1,0,1,1,1,NA,NA,NA,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
"PETER (Jackson MD-3)",1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,NA,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,1,0,NA,NA,1,0,0,1,1,NA,NA,NA,1,1,1,0,1,NA,NA,NA,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
"WORTHINGTON (Adams MD-4)",1,0,0,0,1,1,NA,NA,0,0,1,NA,NA,1,1,1,1,1,0,0,1,0,NA,0,1,0,NA,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,NA,NA,1,0,1,1,0,1,1,0,1,NA,NA,0,NA,0,NA,0,1,NA,NA,NA,0,NA,NA,1,NA,1,NA,0,1,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"LITTLE (Adams MD-5)",1,0,0,0,1,0,0,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,NA,1,1,0,1,0,1,1,0,0,0,1,1,0,0,NA,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,NA,NA,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,NA,1,0,1,1
"BARNEY (Adams MD-5)",1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,NA,0,1,0,1,1,NA,0,NA,NA,0,NA,1,1,1,0,1,1,0,0,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,0,1,0,1,1,NA,0,1,1,0,NA,0,0,NA,1,NA,1,0,0,0,0,NA,1,1,0,NA,0,1,1,0,1,NA,1,0,1,1,NA,1,1,1,1,0,0,1,NA,1,1
"MITCHELL (Jackson MD-6)",NA,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,0,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,NA,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,NA,1,0,1,1,0,1,1,NA,NA,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0
"KERR (Adams MD-7)",1,0,0,0,1,NA,0,1,1,NA,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,0,1,0,1,0,1,0,NA,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,0,1,1,0,NA,0,0,0,0,1,1,0,0,0,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTIN (Adams MD-8)",1,0,0,0,1,0,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,0,0,1,0,1,0,1,0,NA,1,NA,0,0,NA,0,1,1,NA,1,1,1,NA,0,0,NA,0,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEBSTER (Adams MA-1)",0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,NA,0,NA,0,0,NA,1,1,1,1,1,NA,1,0,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,0,NA,NA,NA,1,0,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,NA,0,1,0,1,0,1,1,1,1,NA,0,NA,1,0,1,1
"CROWNINSHIE (Adams MA-2)",0,0,0,0,1,0,0,1,1,1,1,NA,NA,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,NA,NA,NA,0,1,1,1,1,0,1,NA,0,0,NA,NA,0,1,1,NA,1,1,1,1,0,1,1,0,1,NA,0,0,1,0,1,0,NA,0,1,NA,0,1,1,0,NA,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,NA,NA,NA,0,0,1,0,1,1
"VARNUM (Adams MA-3)",0,0,0,0,1,0,0,1,NA,1,0,1,NA,0,NA,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,0,0,0,1,1,NA,0,1,1,1,NA,0,0,0,0,1,1,0,1,NA,0,1,1,0,NA,1,1,0,0,0,1,0,0,1,0,NA,NA,1,0,0,NA,1,0,0,NA,NA,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,NA,0,1,NA,1,1,0,0,1,1,0,1
"EVERETT (Adams MA-4)",0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,NA,0,0,1,0,1,0,0,1,1,NA,NA,0,NA,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,NA,1,0,1,0,1,NA,NA,1,1,0,0,1,0,1,1
"DAVIS (Adams MA-5)",1,0,0,0,1,0,0,1,0,NA,1,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,1,0,0,0,0,NA,0,1,NA,0,0,0,0,0,0,1,0,1,1,0,0,NA,NA,0,1,0,1,0,1,0,1,0,1,0,0,1,NA,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,NA,1,0,1,0,1,1,1,0,1,0,1,NA,0,NA,1
"LOCKE (Adams MA-6)",1,0,0,0,1,0,0,1,1,1,1,1,1,NA,1,0,0,NA,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,NA,0,0,NA,0,NA,NA,1,1,1,NA,1,NA,NA,NA,1,NA,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,NA,0,NA,0,1,1
"ALLEN (Adams MA-7)",1,1,0,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,0,0,0,1,0,1,0,NA,1,0,1,1,0,0,0,0,NA,0,1,0,NA,NA,0,0,NA,1,0,0,1,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,1,0,0,1,0,0,1,0,0,NA,1,0,1,0,1,0,0,NA,0,1,NA,NA,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,1
"LATHROP (Adams MA-8)",1,0,0,0,0,NA,NA,NA,0,0,NA,1,NA,1,NA,NA,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,0,1,NA,0,NA,NA,1,1,0,0,1,0,0,1,0,1,NA,NA,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,0,0,NA,0,1,1
"DWIGHT (Adams MA-9)",0,1,0,0,1,0,0,1,1,1,1,1,NA,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,NA,NA,1,NA,1,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,1,NA,0,0,1,0,0,1,0,1,1,1,0,1,NA,0,NA,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
"BAILEY (Adams MA-10)",0,0,0,0,1,0,0,1,NA,NA,NA,1,0,0,0,1,0,NA,1,1,NA,1,0,1,0,0,1,0,1,NA,0,1,1,0,1,1,1,1,1,NA,NA,1,NA,0,0,0,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,0,1,1,NA,0,1,NA,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,0,1,0,1,0,1,1,1,NA,1,0,0,1,1,0,1
"HOBART (Adams MA-11)",1,1,0,0,1,NA,0,1,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,1,NA,NA,0,NA,0,NA,0,1,NA,0,0,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,NA,0,1,1,1,1,NA,NA,NA,0,0,NA,1,0,NA
"BAYLIES (Jackson MA-12)",1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,NA,0,1,0,1,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,1,1,0,0,1,0,0,1,0,1,1,1,1,1,NA,0,1,1,1,NA,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
"REED (Adams MA-13)",1,1,0,0,1,0,0,1,0,0,NA,1,1,NA,0,0,1,NA,1,1,1,1,0,1,0,0,1,0,1,NA,0,0,0,0,0,1,1,0,0,0,1,NA,0,0,0,0,0,NA,1,1,0,0,0,NA,0,1,1,NA,1,0,0,0,1,0,0,1,0,1,NA,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1
"RANKIN (Jackson MS-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAILE (Jackson MS-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,NA,1,1,0,NA,0,1,1,NA,NA,0,1,0,1,1,1,1,0,0,0,1,1,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,NA,NA
"SCOTT (Adams MO-1)",1,0,0,0,1,0,NA,NA,0,0,1,1,1,1,0,1,1,1,0,1,0,NA,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,NA,NA,1,0,0,1,NA,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,NA,1,NA,0,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,0,1,0,1,1,NA,1,1,0,0,1,0,1,1
"EASTMAN (Adams NH-98)",0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,NA,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,NA,1,0,0,1,1,1,1,1,NA,NA,1,1,0,0,1,1,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,NA,1,1,1,NA,1,NA,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,NA,1,0,NA,NA,1,0,0,0,NA,1,1,1,1,1,0,1
"HEALY (Adams NH-98)",1,0,0,0,1,NA,0,1,1,1,0,0,0,0,1,0,0,1,NA,NA,1,0,0,NA,0,0,1,NA,1,NA,1,1,NA,NA,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,NA,1,0,0,0,NA,0,0,1,0,1,1,1,NA,NA,NA,NA
"WHIPPLE (Adams NH-98)",0,0,0,0,1,1,0,1,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,1,NA,1,0,1,0,NA,0,0,1,1,0,0,1,1,1,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,NA,0,0,0,1,NA,NA,1,NA,1,NA,0,0,NA,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1
"BARTLETT (Adams NH-98)",0,0,1,1,0,1,NA,NA,1,1,1,1,NA,0,1,0,0,NA,0,0,1,0,1,0,1,0,1,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,NA,NA,NA,0,0,NA,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,NA,NA,0,1,NA,1,1,1,NA,1,NA,NA,1,1,0,1
"HARVEY (Jackson NH-98)",1,0,0,NA,1,1,1,NA,0,0,0,0,1,1,0,NA,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,NA,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,1,0,1,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,NA,0,1,0,0,0,NA,1,0,1,0,0
"BROWN (Adams NH-98)",0,0,0,0,1,1,0,1,0,0,0,NA,NA,NA,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,NA,1,1,NA,1,1,0,0,NA,0,0,0,1,0,NA,0,0,1,0,NA,0,1,0,0,1,0,NA,1,1,0,1,NA,1,0,0,NA,NA,NA,NA,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,NA,0,0,NA,NA,1,0,NA,0,0,1,1,1,NA,1,0,NA
"GARRISON (Jackson NJ-98)",1,0,0,0,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,NA,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,NA,1,0,0,0,1,1,0,0,0,0,NA,NA,1,0,0,1,NA,NA,1,1,NA,NA,NA,NA
"SWAN (Adams NJ-98)",1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,NA,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,NA,0,0,1,0,1,1
"CASSEDY (Jackson NJ-98)",1,1,0,0,1,0,0,1,1,NA,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,NA,NA,1,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,NA,NA,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,1,1,0,1,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"HOLCOMBE (Jackson NJ-98)",NA,NA,0,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,0,1,0,0,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,1,1,NA,1,0,1,1,0,1,1,NA,NA,0,NA,NA,0,0,0,0,0,NA,1,1,0,1,0,1,0,NA,1,1,NA,NA,NA,1,NA,0,1,NA,0,0,NA,0,1,NA
"CONDICT (Adams NJ-98)",1,1,0,0,1,1,NA,NA,1,1,0,1,1,1,1,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,NA,NA,0,NA,0,1,1,NA,1,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,NA,NA,1,0,1,NA,1,0,0,NA,NA,1,0,1,0,0,0,0,NA,1,1,NA,0,0,1,0,1,NA,0,1,0,1,NA,0,NA,NA,1,1,1,0,NA,0,1,NA
"TUCKER (Adams NJ-98)",1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,NA,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1
"WOOD (Adams NY-1)",0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,NA,NA,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,NA,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,NA,1,0,1,1,0,1,1,0,NA
"SANDS (Adams NY-2)",1,0,0,0,1,0,0,1,1,1,1,NA,NA,NA,1,0,0,NA,1,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,NA,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,NA,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1
"JOHNSON (Jackson NY-3)",1,1,0,1,0,0,NA,1,1,1,1,1,0,0,NA,NA,NA,1,0,0,1,0,1,0,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,NA,1,NA,NA,1,0,0,1,0,0,1,0,1,NA,1,1,1,NA,0,1,1,1,NA,0,1,0,1,1,NA,1,0,0,0,1,1,1,NA,0,NA,0,1,NA,0,NA,NA,1,1,NA,1,1,NA,NA,1,1,0,NA
"CAMBRELENG (Jackson NY-3)",1,1,0,1,1,0,1,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,0,1,0,1,0,1,0,0,1,NA,0,0,0,0,1,1,1,1,0,1,1,NA,0,NA,NA,NA,0,0,1,1,0,1,1,1,1,1,0,1,1,0,NA,1,0,0,1,1,1,NA,1,1,1,1,0,1,1,1,0,0,1,0,1,1,NA,1,0,0,0,1,1,1,0,0,0,NA,1,NA,NA,NA,0,1,0,0,1,1,0,0,1,NA,NA,0
"VERPLANCK (Jackson NY-3)",1,0,0,0,1,NA,1,1,1,1,1,1,NA,0,1,1,1,1,0,0,1,0,1,0,1,NA,1,0,1,1,0,NA,0,0,0,1,1,0,1,0,1,1,0,1,0,NA,NA,0,0,1,0,0,1,NA,0,1,0,0,1,1,0,0,1,0,0,1,1,1,NA,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,NA,0,1,0,1,NA,1,0,NA,NA,0,NA,1,1,0,0
"WARD (Adams NY-4)",1,0,0,0,1,0,0,1,1,1,1,NA,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,NA,1,1,NA,1,1,0,1,1,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,NA,NA,0,1,0,0,1,0,1,1,1,0,1,NA,NA,NA,1,NA,0,0,1,0,0,0,0,1,1,1,1,NA,0,1,0,1,1,0,0,0,0,0,1,NA,NA,1,1,1,0,0,1,NA,1,1
"WHITE (Adams NY-5)",0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,NA,0,0,1,1,0,0,0,0,1,0,1,NA,NA,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,NA,1,NA,1,NA,NA,NA,1,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,1,NA,1,0,1,NA,NA,0,0,NA,NA,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,0,0,0,0,1,NA,NA,NA,1,NA,0,NA,1,0,1,NA
"HALLOCK (Jackson NY-6)",1,1,1,1,0,0,NA,NA,NA,1,NA,1,0,0,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,1,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HASBROUCK (Adams NY-7)",0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,NA,1,0,1,1,0,1,0,0,0,1,1,NA,0,0,1,1,0,1,1,1,1,NA,0,0,1,0,0,1,0,1,1,NA,0,1,0,NA,0,1,NA,NA,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,NA,1,1,NA,1,1,0,0,NA,0,1,1
"STRONG (Adams NY-8)",NA,1,1,NA,0,1,0,1,NA,NA,1,NA,NA,NA,NA,0,0,NA,1,1,0,1,0,0,0,0,1,1,1,1,NA,NA,0,NA,1,1,NA,0,1,0,1,1,0,1,0,0,0,NA,1,1,1,1,1,1,1,1,NA,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,NA,NA,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,NA,NA,1,1,1,1,0,0,1,0,1,1
"MC (Adams NY-9)",NA,0,0,0,1,0,0,1,1,1,NA,1,NA,0,1,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,NA,0,1,1,0,1,1,0,NA,NA,0,0,NA,NA,NA,NA,1,0,0,0,NA,0,NA,0,0,0,1,0,0,1,0,0,1,NA,0,NA,1,0,1,NA,1,1,0,NA,NA,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,NA,NA,1,0,0,0,1,0,0,NA,0,1,NA,NA,NA,1,0,1
