"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92"
"TALIAFERRO (D FL)",0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,0,0,1,1,1,0,0,1,1,1,1,1,1,1,NA,0,1,0,0,0,1,NA
"CLAY (D GA)",1,0,0,NA,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,NA,1,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,0,1,0,1,1,NA,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,NA,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
"BACON (D GA)",1,0,NA,0,0,NA,1,1,1,1,0,0,0,0,0,1,0,NA,0,1,0,1,0,0,0,0,1,0,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,NA,NA,0,0,1,1,NA,NA,1,1,NA,NA,0,0,1,NA,1,1,NA,0,NA,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,NA,0,0,1,1
"HEYBURN (R ID)",1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,NA,0,1,1,1,0,NA,1,1,1,1,0,1,1,1,0,0,0,1,NA,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,NA,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"DUBOIS (D ID)",0,NA,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,1,1,1,0,0,0,1,1,NA,0,1,0,1,1,1,NA,1,1,1,0,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,0,0,1,1,1,1,1,0,NA,1,1,0,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,NA,1,1,1,0,0,NA,0
"HOPKINS (R IL)",1,NA,NA,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,NA,NA,NA,1,1,0,1,NA,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1,1,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1,0
"CULLOM (R IL)",1,1,1,NA,1,0,NA,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,NA,0,1,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,NA
"FAIRBANKS (R IN)",1,1,1,NA,NA,NA,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,NA,0,0,0,1,0,0,0,1,1,0,1,NA,NA,NA,0,0,0,1,1,0,0,1,1,0,0,0,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,1,NA
"BEVERIDGE (R IN)",1,1,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,1,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,1,0,0,1,0,NA,NA,NA,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,NA,1,1,1
"DOLLIVER (R IA)",1,1,1,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,NA,1,NA,0,0,0,NA,NA,0,0,1,1,0,0,0,0,NA,NA,0,NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,1,NA
"ALLISON (R IA)",1,1,1,NA,NA,0,0,1,NA,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,NA,NA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,NA,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,NA,NA
"LONG (R KS)",1,1,1,1,1,0,NA,1,0,0,1,NA,NA,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,NA,NA,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
"BURTON (R KS)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKBURN (D KY)",1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,0,1,0,0,NA,1,NA,0,1,1,0,1,1,1,1,1,1,1,0,0,1,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,1,0
"MCCREARY (D KY)",1,0,NA,0,0,1,1,1,1,NA,0,0,0,0,0,1,0,0,0,1,NA,1,0,1,0,0,1,0,0,NA,1,NA,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,NA,0,NA,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,0,1,0
"MCENERY (D LA)",0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,1,0,NA,NA,1,1,1,0,1,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,1,1,1,NA,1,NA,NA,1,1,NA,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,1,1
"FOSTER (D LA)",0,NA,1,0,NA,NA,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,0,0,NA,0,NA,1,1,1,NA,1,0,0,1,1,0,0,1,1,1,1,NA,1,1,1,1,1,NA,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,NA,NA,NA,1
"HALE (R ME)",1,NA,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0
"FRYE (R ME)",1,NA,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,NA,0,1,0,1,0,1,NA,0,1,1,1,NA,0,1,NA,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,0,0,1,1
"MCCOMAS (R MD)",1,1,NA,NA,0,NA,0,1,NA,0,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,0,1,1,NA,NA,NA,NA,NA,1,NA,0,0,0,1,0,0,0,1,1,0,NA,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,NA
"GORMAN (D MD)",1,0,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,1,0,0,0,1,NA,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,NA,1,1,1,1,1,NA,0,NA,1,1,0,0,1,1,1,1,NA,0,1,NA,NA,0,0,0,NA,1,1,1,0,0,1,0,1,1,1,1,1,1,NA,NA,0,0,0,1,1
"LODGE (R MA)",1,1,1,NA,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,NA,NA,NA,1,1,0,NA,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,1,1,1
"HOAR (R MA)",1,1,NA,0,0,1,0,1,NA,0,1,1,1,NA,NA,0,1,1,NA,NA,1,1,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRANE (R MA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,1,0,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,1,NA
"BURROWS (R MI)",1,1,NA,NA,1,0,0,1,0,0,1,1,1,1,1,NA,1,1,1,0,NA,0,NA,NA,NA,NA,0,1,1,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,1,NA,NA,1,NA,NA,NA,0,NA,0,1,1,0,0,1,1,0,1,0,0,0,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,1,NA
"ALGER (R MI)",1,1,0,NA,0,1,0,1,NA,0,1,NA,1,1,1,0,1,1,1,0,1,0,1,0,1,NA,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,NA,NA,1,0,1,1,0,0,0,0,1,1,0,NA,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,1,1,1,1
"NELSON (R MN)",1,1,0,NA,NA,NA,0,1,0,0,1,1,1,1,1,NA,1,1,1,0,1,NA,NA,0,1,0,0,1,1,1,0,0,NA,0,NA,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,0,1,NA
"CLAPP (R MN)",1,1,1,NA,NA,NA,0,1,NA,0,1,NA,NA,NA,1,0,1,NA,1,NA,1,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,0,1,NA,1,0,1,1,0,1,1,0,1,NA,NA,NA,NA,1,1,0,NA,NA,1,1,0,0,1,1,0,0,0,0,NA,0,NA,0,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1,NA
"MONEY (D MS)",0,0,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,1,0,NA,1,0,0,NA,1,NA,1,1,1,0,1,1,1,1,1,1,1,0,NA,NA,NA,NA,0,NA,1,1,1,NA,0,1,1,0,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,NA,NA,NA,1,1
"MCLAURIN (D MS)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,1,0,0,1,1,1,1,NA,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,0
"STONE (D MO)",1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,1,NA,0,0,0,1,1,1,0,1,NA,1,1,1,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,NA,1,1
"COCKRELL (D MO)",1,0,1,NA,NA,NA,1,1,NA,1,0,0,0,0,0,1,NA,NA,NA,1,0,0,1,0,1,NA,NA,NA,0,0,1,NA,1,0,1,NA,1,1,1,1,1,1,1,0,0,1,NA,0,NA,NA,1,NA,NA,1,1,1,1,0,0,1,1,1,1,0,NA,NA,1,NA,1,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA
"GIBSON (D MT)",0,0,1,NA,NA,NA,0,1,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,1,1,1,1,0,1,NA,0,1,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,1,0,NA,0,0,1,1
"CLARK (D MT)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,1,NA,0,0,1,1,1,1,NA,1,NA,NA,1,NA,0,NA,NA,1,0,0,0,0,1,1,1,1,1,1,1,NA,1,1,NA,NA,0,NA,NA
"DIETRICH (R NE)",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,1,0,1,1,1,0,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,NA,NA,0,0,1,NA,NA,0,1,0,0,NA,1,0,0,0,0,NA,1,NA,0,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,1,NA
"MILLARD (R NE)",1,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,NA,NA,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,1,0,0,1,NA,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
"NEWLANDS (D NV)",0,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,NA,0,1,1,0,0,0,NA,1,1,0,NA,0,0,1,1,1,NA,1,NA,0,0,1,0,1,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,1,1,1,1,NA,NA,1,NA,NA,0,NA,0,NA,1,1,1,1,1,1,0,1,1,1,1,0,1,NA,NA,0,NA,0,NA,0
"STEWART (R NV)",1,1,0,0,0,1,0,1,0,0,1,1,NA,NA,1,0,1,1,1,0,1,1,1,NA,1,1,0,1,NA,NA,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,1
"BURNHAM (R NH)",1,1,1,1,1,0,0,1,0,0,1,1,NA,1,1,0,1,1,1,0,1,NA,NA,NA,1,0,0,1,1,1,0,0,1,NA,1,NA,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,1,1,1,0
"GALLINGER (R NH)",1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,NA,0,NA,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,NA
"KEAN (R NJ)",1,1,NA,1,1,0,0,1,0,0,1,1,1,1,NA,0,1,1,1,0,1,1,1,0,1,0,0,1,1,NA,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,NA,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,1,1,1
"DRYDEN (R NJ)",1,1,1,NA,1,0,0,1,0,0,1,1,1,1,NA,0,1,1,NA,NA,1,NA,NA,0,1,NA,0,1,NA,1,0,0,1,0,0,NA,0,0,0,1,0,0,0,1,1,NA,NA,0,0,0,0,NA,NA,1,1,0,0,1,1,0,0,0,0,0,0,1,NA,1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,1,1,1,1
"DEPEW (R NY)",1,1,NA,NA,NA,NA,0,1,NA,0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,1,1,1
"PLATT (R NY)",1,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,0,NA,1,1,1,0,0,0,0,1,0,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,1,1,1,NA
