"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103"
"BANKHEAD (D AL-10)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,0,NA,0,1,1,NA,1,0,0,0,0,1,0,NA,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,NA,1,1,0,NA,NA
"DOUGLAS (D AZ-1)",1,1,1,0,0,1,0,0,0,0,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,0,1,0,0,NA,1,NA,NA,0,0,NA,0,NA,1,NA,1,0,NA,NA,NA,NA,0,NA,NA,1,1,NA,1,0,1,NA,NA,NA,1,NA,NA,0,0,NA,1,0,NA,NA,1,1,NA,1,1,1,0,0,NA,0,1,NA,0,1,1,NA,NA,NA,NA,0,0,1,0,0,1,1,0,1,1,1,1,NA,NA,1,1,1,1,1
"DRIVER (D AR-1)",1,1,0,0,0,1,0,0,0,1,0,NA,0,0,0,NA,NA,0,1,1,NA,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,0,NA,0,1,1,1,NA,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,NA,NA
"OLDFIELD (D AR-2)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"FULLER (D AR-3)",1,1,0,0,0,1,0,0,0,1,0,1,0,NA,0,NA,1,NA,1,1,NA,1,0,0,0,0,NA,1,0,1,0,0,1,0,NA,1,1,1,1,1,NA,NA,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,NA,0,1,1,0,0,0
"WINGO (D AR-4)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,NA,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINGO (D AR-4) 10273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"RAGON (D AR-5)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,0,1,0,1,1,1,NA,1,0,0,0,0,NA,NA,0,NA,0,1,1,1,1,0,NA,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"GLOVER (D AR-6)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"PARKS (D AR-7)",NA,1,0,0,0,1,0,0,0,1,0,1,0,NA,0,1,0,0,1,1,NA,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,1,0,1,0,1,NA,1,NA,1,0,0,0,0,0,1,0,NA,0,1,1,NA,1,0,1,0,0,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,NA,NA
"LEA (D CA-1)",1,1,0,1,NA,0,1,0,0,0,1,0,1,NA,1,NA,1,NA,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,NA,1,1,0,1,1,1,NA,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
"ENGLEBRIGHT (R CA-2)",1,1,1,1,1,0,1,1,NA,0,1,0,1,1,1,0,1,NA,0,1,1,NA,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,NA,0,1,1,0,NA,1,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"CURRY (R CA-3)",1,NA,NA,1,NA,0,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAHN (R CA-4)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,NA,1,0,1,1,NA,1,0,1,1,1,NA,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,1,1,NA,0,1,1,0,0,1,0,0,1,1,1,NA,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,1,NA,0,1,0,0,1,NA,NA,0,0,1,1,1,1,0,1,0,1,1
"WELCH (R CA-5)",1,1,NA,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,NA,NA,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"CARTER (R CA-6)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,NA,1,NA,1,1,1,1,1
"BARBOUR (R CA-7)",1,1,1,1,1,0,1,0,0,0,1,0,1,NA,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
"FREE (R CA-8)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,NA,0,1,1,1,0,1,1,1,1,0,1,1,0,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,0,0,1,1,1,NA,NA,1,NA,NA,0,NA,NA,1,1,NA,1,1,1,1,NA,0,0,0,0,0,0,0,1,0,NA,1,0,0,1,1,1,0,NA,1,0,1,1,1,1,0,1,1
"EVANS (R CA-9)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,NA,NA,1,0,NA,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,NA,1,1,1,NA,1,0,NA,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,NA,1,1,1,1,NA,NA
"CRAIL (R CA-10)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,NA,NA,1,NA,NA,NA,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,NA,NA
"SWING (R CA-11)",1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,NA,0,1,NA,NA,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,0,1,NA,1,1,1,1,1,1,1,1,NA,NA
"EATON (R CO-1)",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,NA,0,1,1,1,1,0,1,0,NA,1,0,1,0,0,0,0,0,1,NA,0,0,0,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,NA,1,1,0,0,0,1,0,0,0,1,NA,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"TIMBERLAKE (R CO-2)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,1,NA,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,NA,NA,0,0,0,1,1,NA,1,1,NA,1,0,1,1,1,1,NA,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,NA,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,NA,NA
"HARDY (R CO-3)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,NA,1,1,NA,1,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,1,0,0,1,1,1,NA,0,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,NA,NA
"TAYLOR (D CO-4)",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,0,NA,NA,NA,NA,NA,1,NA,0,0,0,1,0,1,1,0,NA,0,1,1,NA,NA,1,0,1,NA,NA,NA,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA
"FENN (R CT-1)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,NA,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,0,NA,0,0,1,1,1,NA,1,1,1,1,0,1,0,1,1,NA,1,1,1,1,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,1,NA,0,0,0,1,0,NA,NA,0,1,1,NA,NA
"FREEMAN (R CT-2)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,0,NA,1,1,0,1,1,1,1,NA,1,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,NA,1,1,1,NA,0,0,1,1,1,NA,0,0,1,1,1,NA,1,1,0,1,0,1,1,1,1,0,1,1,1,NA,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,0,1,1,0,1,1,NA,NA
"TILSON (R CT-3)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,NA,NA,NA,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,1,1,0,1,NA,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,NA,0,1,NA,1,NA
"MERRITT (R CT-4)",1,1,NA,1,1,0,1,1,1,0,1,NA,1,1,1,NA,1,NA,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,NA,0,NA,1,1,1,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA
"GLYNN (R CT-5)",1,1,1,1,1,0,1,1,1,0,1,0,1,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOSS (R CT-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
"HOUSTON (R DE-1)",1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,NA,NA,0,0,1,NA,NA,0,NA,1,1,1,0,1,NA,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,1,0,0,0,0,1,1,NA,1,NA,NA,1,NA,NA
"DRANE (D FL-1)",1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,NA,1,NA,1,1,NA,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,1,0,1,1,1,1,1,0,0,0,1,1,NA,1,0,0,0,0,1,0,1,1,0,1,NA,1,1,0,0,1,1,1,1,1,1,NA,NA,1,1,0,1,1,0,1,1,1,NA,NA
"GREEN (D FL-2)",1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
"YON (D FL-3)",1,1,0,0,0,1,1,0,0,1,1,NA,1,0,0,NA,1,0,1,1,NA,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0
"OWEN (D FL-4)",1,1,0,0,0,1,1,0,0,1,NA,0,NA,0,1,0,NA,0,NA,NA,NA,NA,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,0,0
"EDWARDS (D GA-1)",1,1,0,0,0,1,0,0,0,1,1,1,0,NA,0,1,0,0,1,1,NA,NA,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,NA,NA,0,1,0,0,NA,0,1,1,0,1,1,1,1,0,NA,1,NA,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,NA,NA
"COX (D GA-2)",NA,1,0,0,0,1,0,0,0,NA,NA,1,0,0,0,NA,0,0,1,NA,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,0,0,1,1,0,NA,1,0,0,0,0,NA,NA,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,NA,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,NA,NA
"CRISP (D GA-3)",1,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,1,NA,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,NA,NA,0,1,0,0,1,0,1,1,0,1,1,1,1,0,NA,1,NA,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0
"WRIGHT (D GA-4)",1,1,0,0,0,1,0,0,0,NA,NA,NA,0,NA,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,NA,NA,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA
"STEELE (D GA-5)",1,1,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAMSPECK (D GA-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,NA,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
