"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111","Vote 112","Vote 113","Vote 114","Vote 115","Vote 116","Vote 117","Vote 118","Vote 119","Vote 120","Vote 121","Vote 122","Vote 123","Vote 124","Vote 125","Vote 126","Vote 127","Vote 128","Vote 129","Vote 130","Vote 131","Vote 132","Vote 133","Vote 134","Vote 135","Vote 136","Vote 137","Vote 138","Vote 139","Vote 140","Vote 141","Vote 142","Vote 143","Vote 144","Vote 145","Vote 146","Vote 147"
"RINGGOLD (R MD-4)",1,0,1,1,NA,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,1,1,1,0,0,1,NA,0,1,1,NA,NA,NA,1,1,0,NA,NA,1,1,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,NA,1,1,1,0,NA,NA,0,0,0,1,1,1,0,0,0,0,0,NA,1,1,1,0,1,1,1,0,0,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"SMITH (R MD-5)",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,1,1,1,1,1,1,0,0,0,1,0,0,1,NA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,NA,0,1,1,NA,NA,1,1,0,1,0,0,0,NA,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,NA,0,1,1,1,0,1,1,0,0,0,0,1,1,1,NA,1,1,1,0,1,0,0,0,0,1,1,1,0,NA,NA,0,0,NA,1,1,1,0,1,1,1,0,0,1,1,NA,0,0,0,0,1,1,0,0,1
"LITTLE (R MD-5)",1,NA,1,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,NA,1,1,1,1,1,1,0,0,0,1,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,NA,0,0,0,1,1,1,1,1,1,NA,1,1,0,0,1,1,1,0,1,1,1,0,0,NA,NA,1,1,0,1,1,NA,NA,NA,NA,0,0,0,1,1,1,1,0,0,0,0,NA,1,0,1,1,1,1,1,1,NA,0,1,0,0,0,0,NA,1,1,1,0,1
"ARCHER (R MD-6)",NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,1,0,1,NA,0,1,0,0,0,1,1,0,0,1,1,1,0,NA,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,NA,0,0,NA,0,1,1,1,NA,NA
"CULBRETH (R MD-7)",1,1,1,1,NA,0,1,NA,0,1,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,NA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NA,1,0,1,NA,0,0,1,1,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,NA,0,0
"BAYLY (Federalist MD-8)",0,1,0,0,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,1,1,1,1,NA,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,NA,NA,NA,NA,0,1,1,0,NA,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1
"GORHAM (R MA-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,NA,0,1,1,1,0,0,0,1,1,0,0,NA,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
"MASON (Federalist MA-1)",1,1,1,1,NA,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SILSBEE (R MA-2)",0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,NA,1,1,1,1,1,1,0,NA,NA,0,1,0,0,0,NA,0,0,1,0,NA,0,0,NA,NA,0,0,1,NA,0,0,0,1,0,0,1,1,1,NA,1,1,0,0,1,1,0,0,0,1,1,0,0,NA,NA,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,NA,0,NA,0,1,1,1,0,0,0,1,1,0,0,1,1,NA,1,0,1,0,0,0,0,NA,1,1,0,0,0,0,0,1,1,NA,0,1
"NELSON (Federalist MA-3)",0,1,1,NA,NA,1,0,NA,NA,1,1,1,0,1,NA,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,NA,1,0,0,0,0,1,NA,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,NA,0,1,0,1,0,0,NA,1,1,NA,1,NA,1,0,0,1,0,1,0,NA,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,NA,0,1,1,1,0,0,0,1,1,0,0,1,NA,0,NA,0,1,0,0,0,0,NA,1,1,0,0,0,0,0,NA,NA,NA,0,1
"FULLER (R MA-4)",0,1,1,NA,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,NA,1,1,1,1,0,NA,1,0,1,0,NA,0,0,0,0,1,0,1,0,NA,1,NA,0,0,0,0,0,0,0,1,NA,0,1,1,NA,NA,1,1,0,NA,1,1,0,0,0,NA,1,0,0,1,1,0,0,1,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,NA,1,1,0,0,0,NA,0,1,1,0,0,NA
"LATHROP (Federalist MA-5)",0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,NA,1,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,1,0,1,0,0,0,0,0,1,0,NA,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,0,0,0,1
"ALLEN (Federalist MA-6)",0,1,NA,1,0,1,0,1,1,1,NA,1,0,1,1,NA,NA,0,0,NA,0,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,NA,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,NA,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1
"SHAW (R MA-7)",1,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,NA,1,1,1,NA,0,0,1,NA,0,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,NA,NA,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,1,1,NA,1,NA,0,1,1,0,1,0,NA,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOBART (R MA-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,0,1,1,0,1,1,0,1,0,0,NA,NA,NA,1,0,0,0,0,0,0,1,0,NA,1
"SAMPSON (R MA-8)",0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOLGER (R MA-9)",1,1,0,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,NA,0,1,1,NA,0,0,1,1,0,0,1,0,0,NA,1,0,0,1,0,NA,0,NA,0,NA,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,1,0,0,0,1,1,NA,0,0,1,1,1,1,1,NA,0,0,0,0,1,1,0,0,0,0,0,1,NA,0,0,1
"MORTON (R MA-10)",0,1,1,1,NA,1,0,NA,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,NA,0,0,NA,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,NA,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA
"ADAMS (Federalist MA-11)",0,1,1,0,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,NA,0,0,1,0,0,0,1,1,0,0,1,0,1,1,NA,0,0,NA,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,0,1,NA,0,0,NA,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,0,0,0,1,0
"KENDALL (Federalist MA-12)",0,1,1,0,NA,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,NA,1,1,1,0,1,0,1,0,0,1,1,1,NA,NA,NA,1,1,1,1,1,NA,0,1,1,1,0,0,0,0,NA,NA,0,NA,1,0,0,1,0,1,NA,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,0,1,1,1,0,0,0,1,1,1,0,NA,1,NA,NA,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,0,1,1
"DOWSE (R MA-13)",1,1,1,NA,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,1,0,0,0,1,0,NA,NA,0,0,NA,0,1,0,0,1,NA,1,1,NA,NA,0,0,1,1,NA,NA,1,1,1,0,0,1,1,1,1,1,1,NA,0,1,NA,NA,0,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUSTIS (R MA-13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,1,NA,0,1,0,1,0,0,1,1,0,1,1,NA,1,0,0,0,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,1,NA,1,1,0,0,0,0,NA,NA,1,1,0,0,0,0,0,NA,1,NA,0,NA
"HOLMES (R MA-14)",0,0,0,1,NA,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,NA,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANE (Federalist MA-14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,1,0,0,0
"WHITMAN (Federalist MA-15)",0,1,0,NA,NA,1,0,1,1,1,1,1,0,1,NA,1,1,0,NA,1,1,NA,1,1,1,NA,NA,0,1,0,1,1,0,0,0,0,0,1,0,NA,0,NA,1,0,0,NA,1,1,1,0,NA,NA,NA,0,1,NA,0,1,1,1,0,0,1,1,0,0,0,1,0,1,NA,NA,NA,0,0,1,0,1,1,1,0,0,0,1,1,1,NA,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,1,0,NA,NA,1,1,1,0,0,0,1,1,NA,0,NA,1,NA,1,NA,NA,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,NA,0,0,1
"HILL (R MA-16)",0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,NA,0,0,1
"KINSLEY (R MA-17)",0,0,1,NA,0,1,0,1,1,1,NA,1,0,1,1,1,1,0,1,1,1,NA,1,1,1,0,0,0,1,NA,1,1,0,0,0,0,0,1,0,1,0,NA,1,0,NA,1,0,0,0,0,0,0,0,1,1,NA,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,0,1,1,0,0,NA,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,NA,1,0,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"PARKER (R MA-18)",0,0,1,1,0,NA,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,NA,NA,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA,NA
"CUSHMAN (R MA-19)",1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"LINCOLN (R MA-20)",0,1,1,1,NA,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,NA,NA,0,0,1,1,1,1,1,0,0,0,0,0
"RANKIN (R MS-1)",1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,NA,NA,0,1,1,1,1,0,1,NA,NA,1,0,0,1,1,1,NA,0,1,1,0,1,1,1,1,0,1,1,0,0,0,NA,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,NA,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,NA,1,0,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,1,1,NA,0,0
"LIVERMORE (R NH-98)",0,0,1,NA,1,1,0,1,1,1,1,1,0,1,0,0,NA,0,1,1,0,0,0,0,1,NA,0,0,1,1,0,NA,0,0,0,0,0,1,0,1,0,1,NA,0,NA,0,1,0,0,NA,NA,1,1,0,1,1,0,NA,1,1,0,0,NA,1,0,0,0,1,1,0,0,0,NA,1,1,1,0,1,1,1,0,0,1,1,1,1,0,NA,1,0,0,0,NA,NA,NA,0,1,0,NA,NA,0,1,1,0,0,NA,1,NA,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,NA,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,NA,NA,0,NA,NA
"BUTLER (R NH-98)",0,NA,0,NA,NA,1,0,1,1,1,1,1,0,1,1,1,NA,0,1,0,0,0,0,0,1,0,0,NA,0,0,1,1,0,0,NA,NA,NA,0,1,1,0,1,0,NA,1,1,1,NA,1,NA,1,1,1,0,1,NA,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,NA,1,1,1,1,1,0,0,1,NA,1,NA,0,0,0,0,0,0,1,1,NA,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"CLAGETT (R NH-98)",NA,0,0,1,NA,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,NA,1,0,NA,0,0,0,1,0,0,1,0,0,1,1,0,1,1,NA,NA,0,0,1,1,1,0,0,1,1,NA,NA,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,NA,1,0,1,NA,1,0,0,NA,0,1,0,0,0,0,0,NA,0,NA,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,NA,0,0,0,0,NA,1,0,0,1,0,0,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
"PLUMER (R NH-98)",0,1,1,NA,NA,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,NA,0,0,1,NA,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,NA,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,1,NA,1,NA,1,0,1,1,1,0,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,NA,1,0,0,0,0
"UPHAM (R NH-98)",0,1,0,1,NA,1,0,1,1,1,1,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,0,1,0,0,NA,1,1,NA,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,NA,NA,1,NA,1,0,1,NA,1,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,1,1
"BUFFUM (R NH-98)",0,1,0,1,NA,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,NA,NA,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,NA,1,0,0,1,1,0,0,NA,NA,NA,0,0,NA,1,0,NA,0,0,0,1,1,0,1,NA,1,NA,NA,1,0,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,NA,0,NA,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,NA,1,1,1,1,0,0,0,0,0
