"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94"
"MCLANE (NA DE-1)",NA,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,NA,1,1,0,1,1,0,1,1,1,0,1,NA,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,NA,1,1,1,1,1,0,0,1,0,1,NA,0
"ABBOTT (NA GA-98)",1,0,1,NA,0,1,0,0,0,1,0,1,1,1,NA,1,0,0,NA,0,1,1,0,1,0,1,0,0,0,1,NA,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,NA,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,NA,1,0,NA,NA,0,1,1,1,NA,0,NA,NA,0,0,0,1,0,1,1,1,1,1
"CARY (NA GA-98)",0,NA,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"FORSYTH (NA GA-98)",1,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1,0,0,1,0,1,1,NA,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,0,NA,1,NA,0,1,NA,0,1,1,0,1,1,0,1,1,1,NA,1,1,1,0,0,0,NA,NA,0,1,1,0,1,NA,0,1,1,0,0,1,0,NA,1,1
"THOMPSON (NA GA-98)",1,0,0,1,1,0,NA,1,NA,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,NA,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
"TATTNALL (NA GA-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,NA,1,0,0,1,1,1,0,0,NA,0,0,0,1,NA,1,1,1,NA,1,0,0,1,NA,0,1,1,1,1,1,1,0,1,0,1,0,1,NA,0,1,1,1,NA,NA,0,0,0,0,0,0,1,0,1,1,NA,0
"CUTHBERT (NA GA-98)",NA,1,1,0,0,1,0,0,0,NA,NA,0,1,0,1,1,0,0,1,0,1,1,NA,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,1,1,1,1,1,0,1,NA,NA,NA,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,1,1,0
"COBB (NA GA-98)",0,0,0,1,1,0,NA,NA,NA,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,NA,0,1,1,NA,1,NA,0,1,0,0,1,1,0,1,1,0,1,NA,NA,0,1,1,1,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILDE (NA GA-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"COOK (NA IL-1)",0,1,1,0,0,1,0,0,1,0,0,1,0,1,NA,0,NA,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,NA,1,NA,1,0,1,1,NA,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,NA,0
"PRINCE (R IN-1)",NA,0,1,0,0,1,0,1,1,NA,NA,NA,1,0,1,NA,0,0,0,1,0,1,1,NA,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,NA,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALL (NA IN-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,0,1,1,1,1,1
"JENNINGS (NA IN-2)",NA,1,NA,0,0,1,0,0,1,0,1,NA,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,NA,NA,NA,1,0,1,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,0,0,1,NA,NA,1,0
"TEST (NA IN-3)",NA,0,1,0,0,1,0,0,1,0,0,1,NA,NA,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,NA,NA,1,NA
"TRIMBLE (NA KY-1)",1,NA,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,NA,0,1,1,0,0,1,0,1,NA,1,NA,1,0,0,0,0,0,0,1,0,NA,0,1,NA,NA,NA,1,NA,1,1,0,NA,1,1,1,1,0,0,1,NA,NA,1,0
"METCALFE (NA KY-2)",NA,0,1,0,0,1,1,1,1,1,0,NA,NA,0,NA,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,NA,0,1,1,1,1,1,0,1,1,1,NA,0,1,0,1,NA,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,NA,0,1,0,1,0,NA,1,0,1,1,0,0,1,NA,1,1,1
"CLAY (NA KY-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LETCHER (NA KY-4)",1,0,1,0,0,1,NA,NA,0,0,NA,1,NA,0,1,NA,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,NA,0,1,NA,0,1,1,0,0,0,0,0,0,1,0,NA,0,1,0,NA,1,NA,NA,1,NA,0,1,1,0,1,1,0,0,1,1,1,NA,1
"JOHNSON (NA KY-5)",NA,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA
"WHITE (NA KY-6)",1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,NA,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,NA,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,NA,NA,0,0,NA,0,1,NA,0,1,1,0,0,0,NA,0,0,1,0,1,0,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,0,0,1,NA,NA,NA,NA
"MOORE (NA KY-7)",1,1,1,0,0,1,0,0,NA,0,0,1,0,0,0,0,1,0,NA,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,NA,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,NA,0,1,1,NA,NA,1,1,1,1,0,1,1,1,1,1,0,0,1,1,NA,1,NA
"BUCKNER (NA KY-8)",1,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,NA,1,0,1,1,1,1,1,NA,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,NA,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,NA,0,0,0,NA,1,0,1,1,1,0,1,NA,0,NA,NA,0,0,1,1,NA,NA,NA
"WICKLIFFE (NA KY-9)",NA,0,1,0,0,1,0,1,0,0,NA,1,0,0,1,0,0,NA,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,NA,1,0,0,1,1,0,0,0,1,1,1,1,NA,NA,1,0,0,1,0,1,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,NA,0,0,0,NA,1,NA,NA,1,1,NA,NA,1,0,1,1,0,0,1,1,1,NA,1
"JOHNSON (NA KY-10)",1,1,1,0,0,1,0,1,1,1,0,NA,1,0,1,0,0,0,0,1,0,0,NA,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,NA,0,0,0,0,1,0,1,NA,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,NA,NA,1,0,0,NA,1,1,0,1,1,0,0,1,0,0,NA,NA
"THOMPSON (NA KY-11)",0,0,1,0,0,1,NA,0,1,1,0,1,0,0,0,1,0,0,NA,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,1,1,0,0,0,1,1,0,0,NA,1,1,1,NA,NA,1,1,0,1,1,0,1,1,1,0,0,1,1,0,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,NA,NA,1,1,1,1,0,0,1,1,1,NA,NA
"HENRY (NA KY-12)",1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,NA,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,NA,1,0
"LIVINGSTON (NA LA-1)",NA,NA,1,0,0,1,0,0,0,0,1,1,1,0,NA,NA,1,NA,1,0,1,1,NA,NA,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,NA,1,1,1,0,1,1,NA,1,1,0,1,1,0,1,1,1,NA,1,NA,1,0,NA,1,0,NA,1,1,1,NA,1,1,1,NA,NA,1,1,NA,0,1,NA,0
"GURLEY (NA LA-2)",1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,NA,0,0,0,NA,1,1,0,1,NA,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,NA,1,1,0
"BRENT (NA LA-3)",NA,0,NA,0,0,1,1,NA,0,NA,1,0,1,1,NA,NA,0,NA,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,NA,0,1,0,1,0,0,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,NA,1,1,NA,1,NA,1,1,1,1,0,0,1,1,1,1,0
"BURLEIGH (NA ME-1)",1,1,0,1,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,NA,NA,1,0,0,0,0,NA,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,NA,NA,0,0,NA,0,1,1,0,1,0,0,1,1,1,0,0
"LONGFELLOW (NA ME-2)",NA,1,0,1,1,0,NA,NA,0,0,NA,NA,0,1,0,NA,NA,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,NA,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"HERRICK (NA ME-3)",NA,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,NA,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,0,0,0,1,1,1,0,0,0,0,NA,1,NA,0,0,NA,NA,0,NA,1,0,1,1,0,1,1,1,1,1,1,0,1,1,NA,NA,NA,0,1,1,NA,1,NA,1,0,NA,NA,0,0,0,0,1,0,1,1,0
"CUSHMAN (NA ME-4)",0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,0,0,1,0,0,1,0
"LINCOLN (NA ME-5)",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,NA,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,1,0,1,1,NA,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
"OBRIEN (NA ME-6)",0,1,NA,1,1,NA,1,NA,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,0,0,1,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,1,0,0,1,0
"KIDDER (NA ME-7)",NA,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,NA,1,1,1,0,1,0,1,1,0,1,0,0,NA,0,0,1,NA,0,0,1,1,NA,0,0,1,1,0,0,1,1,NA,0,0,1,1,NA,1,1,0,1,1,1,0,NA,0,1,0,0,0,0,NA,0,1,NA,NA,0,1,1,1,NA,0,0,NA,1,NA,NA,0,0,1,0,NA,1,NA
"NEALE (NA MD-1)",1,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,1,NA,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"KENT (NA MD-2)",1,0,1,0,0,1,0,0,0,0,0,NA,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,NA,NA,NA,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,NA,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,0,1,0,1,NA,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"WARFIELD (NA MD-3)",NA,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,NA,NA,NA,NA,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,0,0,1,0,1,NA,NA
"LEE (NA MD-4)",NA,1,1,0,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,1,NA,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,1,NA,0,1,0,1,NA,0,1,1,1,1,0,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,1,1,0,0,1,0,1,1,0
"MCKIM (NA MD-5)",0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1,1,1,1,0,0,0,1,1,NA,0,1,1,1,NA,1,NA,1,0,0,1,0,0,1,0,1,1,0
"LITTLE (NA MD-5)",NA,0,1,0,0,1,0,0,1,1,0,NA,0,NA,0,0,NA,0,0,1,0,NA,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,NA,1,0,1,NA,1,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,1,0,1,NA,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0
"MITCHELL (NA MD-6)",NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,NA,1,1,0,1,1,1,1,0,0,0,1,0,NA,0,0,0,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,0,0,1,1,1,1,0
"HAYWARD (NA MD-7)",NA,0,1,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,NA,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,1,1,NA,NA
"SPENCE (NA MD-8)",NA,NA,1,0,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,NA,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,NA,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,NA,NA
"WEBSTER (NA MA-1)",1,1,1,0,0,1,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,1,1,0,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,NA,1,1,0,0,NA,0,0,NA,0,NA,NA,0,1,0,1,1,NA,0,1,0,1,1,1,1,1,1,1,0,0,1,1,NA,1,1,NA,0,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,0
"CROWNINSHIE (NA MA-2)",1,0,1,0,0,1,NA,0,0,0,1,NA,0,1,0,1,1,NA,1,0,1,1,1,1,0,1,1,0,NA,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,NA,NA,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,NA,1,1,1,0,1,1,1,1,0,0,1,NA,1,NA,0
