"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111","Vote 112","Vote 113"
"MILLS (Federalist MA-5)",0,1,0,0,NA,1,0,0,0,1,0,1,0,1,0,NA,0,0,1,0,0,1,0,0,0,NA,NA,0,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,NA,0,NA
"TAGGART (Federalist MA-6)",0,1,0,0,NA,NA,NA,NA,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,NA,1,1,0,1,0,1,1,NA,0,1,1,1,NA,1,0,0,NA,0,1,1,0,1,NA,1,0,0,NA,0,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,1,0,1,0,0,0,NA,1,1,1,0,0,1,1,1,1,NA,1,0,NA,NA,1,0,NA,1,0,0,0,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA
"HULBERT (Federalist MA-7)",0,1,NA,0,0,1,NA,1,1,1,NA,1,NA,1,NA,NA,0,0,1,0,NA,0,1,0,1,1,1,0,0,NA,1,1,1,0,1,0,0,1,1,1,0,1,NA,NA,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,1,0,NA,NA,1,1,1,1,0,1,0,NA,NA,NA,0,1,0,1,NA
"BAYLIES (Federalist MA-8)",0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,NA,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,NA,NA,NA,NA
"REED (Federalist MA-9)",0,NA,0,0,0,1,0,1,0,1,0,1,1,1,0,1,NA,NA,0,0,1,NA,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,1,1,0,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,NA,0,0,0,0,0,1,0,1,1,0,1,NA,0,0
"WHEATON (Federalist MA-10)",0,0,0,0,NA,NA,NA,1,1,NA,NA,NA,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,NA,NA,1,1,0,0,1,1,1,NA,NA,NA,0,NA,NA,1,1,NA,0,1,1,NA,0,0,0,0,0,0,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,1,1,0,1,1,NA,1,NA,1,1,NA,0,1,1,0,0,0,0,0,0,0,1,NA,1,1,0,NA,NA,NA,NA
"BRIGHAM (Federalist MA-11)",0,0,NA,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMS (Federalist MA-11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,NA,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"STRONG (Federalist MA-12)",0,0,0,0,0,1,1,0,0,0,0,NA,1,1,0,1,NA,NA,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,NA,1,1,1,0,NA,NA,NA,0,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,0,0,1,1,0,NA,NA,1,1,NA,0,0,0,NA,0,0,1,1,0,0,NA,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,NA,1,NA,0,0
"RUGGLES (Federalist MA-13)",0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,1,0,0,0
"KING (Federalist MA-14)",0,0,1,1,0,1,0,0,0,0,0,1,NA,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"BRADBURY (Federalist MA-15)",0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,NA,1,0,0,1,0,0,0,0,0,1,0,1,1,1,NA,NA,1,1,0,0,1,1,1,NA,NA,1,1,1,0,1,1,NA,1,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"BROWN (Federalist MA-16)",0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,0,NA,0,0,0,0,1,0,1,0,0,NA,1,1,1,1,NA,1,NA,1,1,NA,0,1,1,1,0,1,1,1,NA,0,0,0,NA,NA,NA,NA,NA,1,0,NA,0,0,NA,1,0,1,NA,0,0,NA,1,NA,1,NA,1,1,1,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA
"CARR (Federalist MA-17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,NA,0,0,1,0,0,1,1,1,0,1,0,NA,1,1,1,1,1,0,1
"RICE (Federalist MA-18)",0,0,0,0,0,1,NA,0,0,0,NA,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,NA,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,1,1,0,1,1,NA,0,NA,NA,NA
"CONNER (R MA-19)",NA,1,1,1,NA,0,1,1,NA,NA,1,NA,1,NA,1,0,0,NA,1,0,0,0,0,1,NA,1,NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,1,1,NA,1,NA,NA,NA,1,1,NA,0,1,0,0,0,0,0,0,NA,0,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,NA,NA,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,NA,NA,1,0,NA,NA,NA,1,NA,1,1,1,NA,0,0,0,NA,1,NA,1,NA
"PARRIS (R MA-20)",1,1,1,1,1,0,0,NA,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,1,0,1,1,0,1,0,1,NA,NA,NA,NA,1,0,0,1,NA,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,0,1,0,1,NA,0,1,1,NA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,NA,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
"HALE (Federalist NH-98)",NA,NA,NA,NA,0,1,0,NA,0,NA,0,1,1,1,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,NA,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,NA,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"WILCOX (Federalist NH-98)",0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
"ATHERTON (Federalist NH-98)",0,1,0,0,NA,NA,0,0,0,0,1,1,1,1,0,1,NA,NA,1,0,1,0,0,1,0,0,1,NA,1,1,1,NA,1,1,1,0,0,1,1,1,0,1,1,0,NA,NA,1,0,0,1,1,1,0,0,0,0,0,0,0,1,NA,1,1,0,1,0,1,0,1,1,1,NA,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0
"CILLEY (Federalist NH-98)",NA,1,0,0,0,1,0,0,0,0,0,1,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,NA,1,1,1,1,0,1,0,0,0,1,NA,1,0,NA,1,1,0,NA,0,1,1,1,1,0,1,1,NA,1,0,0,0,NA,NA,NA,1,1,0,0,0,1,0,1,0,1,1,1,1,NA,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,NA,0,NA,0,0,NA,0,1,0,NA,1,NA,NA,NA,NA,NA
"VOSE (Federalist NH-98)",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,NA,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"WEBSTER (Federalist NH-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,1,1,0,0,1,NA,1,NA,1,NA,NA,1,1,0,NA,NA,0,0,0,1,1,1,NA,0,0,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,0,0,0,0,1,NA,1,0
"BATEMAN (R NJ-98)",NA,1,1,1,1,0,0,1,0,1,1,1,NA,0,1,0,0,0,0,1,0,1,0,NA,1,1,0,NA,NA,1,1,0,1,0,0,NA,1,0,1,NA,1,NA,1,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,0,1,NA,0,0,0,1,1,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,NA,NA,0,NA,NA,NA,NA
"BENNET (R NJ-98)",NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,NA,1,1,1,0,1,0,NA,0,0,0,1,NA,NA,NA,0,NA,0,1,1,1,NA,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,NA,0
"BAKER (R NJ-98)",1,1,1,1,1,0,0,1,1,1,1,NA,NA,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,NA,0,0,0,NA,1,1,0,0,0,NA,0,1,NA,1,0,1,0,NA,0,1,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,NA,1,NA,0,0,0,1,NA,NA,NA,1,1,1,1,1,1,0,0,NA,NA,NA,1,0,0,0
"WARD (R NJ-98)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,0,0,0,0,0,1,1,1,NA,1,0,NA,1,0,0,0,0,NA,NA,0,1,1,0,1,1,1,1,0,NA,1,0,NA,1,0,NA,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,1,0,1,NA,NA,NA,0,0,0,0,0,NA,0,1,1,NA,0,1,0,0
"CONDICT (R NJ-98)",0,1,1,1,1,0,0,1,1,1,1,1,NA,NA,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,NA,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,NA,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,1,NA,NA
"SOUTHARD (R NJ-98)",1,1,1,1,1,0,NA,NA,1,0,1,NA,1,0,1,0,1,0,1,1,NA,NA,NA,1,1,1,0,1,1,1,NA,1,0,0,0,1,0,0,1,1,0,0,1,1,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,NA,0,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,1,0,0,1,0,0,1,1,1,NA,1,1,1,1,NA,0,1,1,0,NA,NA,0,NA
"TOWNSEND (R NY-1)",1,1,1,1,1,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,1,1,1,1,0,NA,0,0,0,1,0,0,1,1,0,1,1,1,1,NA,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,1,1,NA,NA,NA,0,1,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"CROCHERON (R NY-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,NA,NA,1,1,NA,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"IRVING (R NY-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,0,0,0,0,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,0,1,0,0,0,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,0,0,1,1,1,1,0,1,1,0,1,1,0,NA,0,0,0,0,1,0,NA,1,1,1,1,1,1,1,NA,0,NA,NA,NA,NA,0,1,0
"WENDOVER (R NY-2)",1,1,1,1,NA,0,1,1,0,1,1,1,0,0,1,0,NA,NA,1,0,0,1,0,1,1,1,0,1,0,1,0,NA,NA,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,NA,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
"WARD (R NY-3)",NA,1,NA,0,1,0,1,1,1,NA,1,NA,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,NA,0,0,0,1,1,NA,NA,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,1,1,1,NA,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,NA,NA,0,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,0,NA
"SCHENCK (R NY-4)",1,1,1,1,1,0,0,1,0,NA,1,NA,NA,0,1,0,1,0,1,0,0,1,0,1,NA,1,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,NA,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,NA,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,NA,0,0,0,1,0,1,1
"GROSVENOR (Federalist NY-5)",0,0,0,0,0,1,0,1,0,1,1,NA,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,1,1,1,0,NA,NA,0,1,1,1,0,0,1,1,1,NA,NA,1,1,NA,NA,0,1,NA,1,0,1,1,NA,0,1,NA,0,0,1,1,NA,1,0,1,0,0,0,1,NA,1,1,NA,0,NA,NA,NA,0,1,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILKIN (R NY-6)",0,1,1,1,1,0,NA,1,0,NA,1,1,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,1,1,0,1,0,0,0,1,1,NA,0,0,0,0,1,1,0,NA,1,1,1,1,0,0,NA,0,1,0,1,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,1,0,0,0,0,0,0,0,1,1
"BETTS (R NY-7)",0,1,0,0,1,0,1,1,0,1,1,NA,1,0,0,0,0,NA,1,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,NA,0,0,1,NA,0,0,0,NA,NA,0,0,1,1,0,1,1,1,0,0,1,0,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,1,1,NA,0,1,0,0,1,1,1,0,1,0,NA,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
"ADAMS (R NY-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROOT (R NY-8)",0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,NA,1,1,1,0,1,1,0,NA,0,1,1,NA,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,NA,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,1,0,1,0,1
"LOVETT (Federalist NY-9)",0,1,0,0,0,1,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,NA,1,0,0,1,0,0,1,1,NA,NA,1,0,0,NA,1,1,0,1,1,1,1,1,1,1,1,0,1,NA,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,NA,1,NA,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0
"MOFFITT (Federalist NY-10)",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,1,1,NA,0,1,0,1,1,0,NA,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"TAYLOR (R NY-11)",NA,1,1,1,1,0,1,1,0,1,1,0,NA,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,NA,0,1,0,0,0,0,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
"ADGATE (R NY-12)",1,1,NA,1,1,0,0,NA,1,NA,1,0,NA,NA,NA,NA,1,0,NA,NA,0,0,0,1,1,1,1,1,1,NA,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,NA,0,NA,1,NA,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,NA,NA,0,1,0,NA,1
"SAVAGE (R NY-12)",0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,NA
"YATES (R NY-13)",0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,NA,1,1,NA,1,0,0,1,NA,1,0,0,0,1,1,NA,1,1,1,1,1,0,1,NA,0,1,0,0,0,0,0,0,0,0,1,NA,1,NA,1,NA,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,NA,1,1,NA,1,1,1,1,0,NA,0,0,1,1,0,1,0
"CADY (Federalist NY-14)",0,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,NA,0,0,0,0,1,0,0,1,NA,1,1,1,1,0,1,0,1,0,NA,0,0,1,0,0,0,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,1,NA,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,NA,0,1,0,1,0,0,0,0,1,NA,1,0
"HAMMOND (R NY-15)",0,1,1,1,1,NA,0,1,NA,1,1,NA,0,0,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,1,1,1,0,NA,0,1,0,0,1,0,0,NA,NA,0,NA,1,1,1,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,NA,1
