"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83"
"MILLEDGE (R GA-98)",1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,0,1,1,0,NA,1,0,1,NA,0,1,1,NA,1,0,1,1,1,1,1,0,1,0,1,0,NA,NA,NA,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,NA,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"BALDWIN (R GA-98)",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,NA,NA,NA,1,0,0,0,1,0,1,1,1,1,1,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,NA,0
"GREENUP (R KY-1)",1,NA,1,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,0,0,0,0,1,0,0,0,1,1,NA,0,1,1,1,NA,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,NA,NA,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,NA,1,0,0,0,1,1,0,0,0,0
"ORR (R KY-2)",NA,NA,1,0,1,1,1,0,1,1,1,1,1,0,0,NA,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,NA,1,0,1,1,1,NA,NA,1,0,1,1,1,0,1,1,1,0,1,0
"DENT (Federalist MD-1)",1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,NA,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,NA,1,1
"DUVAL (R MD-2)",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPRIGG (R MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,0,1,NA,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,NA,NA,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0
"CRABB (Federalist MD-3)",NA,NA,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,NA,NA,0,0,1,0,0,1,0,1,1,0,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRAIK (Federalist MD-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,1,0,NA,0,1,1,1,1,0,0,1,NA,NA,1
"SPRIGG (R MD-4)",NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,NA,1,0,0,1,0,0,1,1,NA,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,1,NA,1,0
"SMITH (R MD-5)",1,1,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,NA,1,0,1,NA,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,1,0,0,NA,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISTIE (R MD-6)",0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,NA,1,0,0,0,0,NA,NA,0,1,0,NA,0,NA,NA,NA,NA,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,NA,1,NA,1,1,0,NA,1,NA,NA,0,1,1,0,0,1,0
"HINDMAN (Federalist MD-7)",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,NA,NA,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,NA,1,1
"MURRAY (Federalist MD-8)",1,NA,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,1,0,NA,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,0,1,1,0,0,0,0,NA,1,0,0,0,0,0,1,1,0,1,0,NA,0,NA,1,1,1,0,0,1,0,NA,NA
"SEDGWICK (Federalist MA-1)",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SKINNER (R MA-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,0,1,1,1,1,1,1,1,1,NA,NA,1,1,1,0,1,1,1,NA,NA,NA,NA,0
"LYMAN (R MA-2)",1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,0,1,0,1,NA,0,0,0,1,0,0,0,1,1,NA,0,1,0,1,NA,1,0,0,1,0,1,0,NA,1,0,0,0,0,0,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"LYMAN (Federalist MA-3)",1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,NA,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,NA,1
"FOSTER (Federalist MA-4)",1,0,0,NA,NA,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,NA,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,NA,1,0,1,0,1,0,1,1,NA,1,0,0,1,1,1,1
"FREEMAN (Federalist MA-5)",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,1,0,NA,0,1,1,1,0,0,1,1,1,1,NA,NA,1,1,0,1,1,NA,1,1,1,1,NA,1,1,1,NA,0
"REED (Federalist MA-6)",1,0,0,NA,NA,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,NA,NA,NA,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,0,1,1,1,0,1,1,0,1,0,NA,1,1,1,1,1,0,0,1,1,1,0
"LEONARD (Federalist MA-7)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,0,1,1,1,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,1,1
"AMES (Federalist MA-8)",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,1,NA,NA,NA,1,0,NA,1,0,1,NA,0,0,NA,0,1,0,0,NA,NA,0,0,0,0,NA,1,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA,1,1,1,1,0,0,1,1,NA,NA
"VARNUM (R MA-9)",1,1,1,0,1,1,0,NA,0,1,1,1,1,1,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,0,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,1,0
"GOODHUE (Federalist MA-10)",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEWALL (Federalist MA-10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,1,1,1,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,NA,0,NA,NA,1,1,0,0,1,1,1,1
"BRADBURY (Federalist MA-11)",1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1
"DEARBORN (R MA-12)",1,1,1,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,1,NA,0,0,0,NA,NA,1,0,0,0,0,0,1,NA,1,1,1,0,1,1,1,0,1,1,0,NA,NA,0,NA,1,1,1,1,NA,0
"WADSWORTH (Federalist MA-13)",1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,NA,1,1,1,1,1,1,0,1,0,1,0,0,0,1,NA,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"THACHER (Federalist MA-14)",1,0,0,1,NA,0,1,1,0,0,0,0,0,0,NA,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,NA,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,NA,1,NA,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"SMITH (Federalist NH-98)",1,0,0,NA,NA,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,NA,NA,NA,0,1,1,0,1,1,0,1,NA,1,0,0,0,1,0,1,NA,NA,NA,0,1,NA,0,0,0,0,1,0,NA,1,0,0,1,1,0,0,1,1,1,0,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,1,NA,NA,NA
"FOSTER (Federalist NH-98)",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,NA,1,1,1,1,1,0,0,1,1,NA,1
"GILMAN (Federalist NH-98)",1,1,0,0,1,0,1,NA,NA,NA,0,1,1,0,0,1,0,1,1,0,1,NA,1,NA,NA,1,0,NA,1,0,1,1,0,1,0,NA,0,0,0,1,0,0,0,0,1,1,1,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,NA,0,0,NA,0,1,NA,NA,1,0,0,1,1,NA,1
"SHERBURNE (R NH-98)",1,0,1,0,1,NA,1,1,0,0,1,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,0,NA,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,0
"KITCHELL (Federalist NJ-98)",1,1,1,NA,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,NA,0,0,1,NA,NA,NA,NA,NA
"SMITH (Federalist NJ-98)",1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,NA,NA,NA,1,1,1,1,1,1,NA,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,NA,1,1,1,0,NA,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,NA,1,1,1,0,NA,1,NA
"THOMSON (Federalist NJ-98)",1,1,0,1,1,0,0,NA,NA,0,0,0,0,0,0,1,0,1,1,0,1,NA,NA,0,1,NA,NA,NA,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,NA,NA,NA,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,0,0,0,0,1,0,NA,1,0,1,1,1,1,NA,NA,NA,0,1,NA,NA,NA
"DAYTON (Federalist NJ-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENDERSON (Federalist NJ-98)",1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,1,0,NA,0,0,1,NA,1,1,0,0,0,0,0,0,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,1,1,1,0,0,NA,NA,NA,1,NA
"LIVINGSTON (R NY-1)",1,0,1,0,1,NA,NA,1,0,1,1,1,1,0,0,1,NA,0,1,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,1,0,1,NA,NA,1,0,NA,1,1,0,1,0,NA,0
"HAVENS (R NY-2)",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0
"VANCORTLAND (R NY-3)",1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,NA,1,1,NA,0,0,1,0,0,NA,NA,NA,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,1,0,1,1,0,1,0,NA,1,NA,0,1,0,NA,NA
"HATHORN (R NY-4)",0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,NA,0,0,1,1,0,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,NA,NA,0
"BAILEY (R NY-5)",0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,NA,0,0,0,1,0,1,0,1,0,1,NA,1,0,0,1,1,1,0,1,1,0,NA,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,NA,1,1,0,NA,1,1,1,0,NA,NA,0
"GILBERT (Federalist NY-6)",1,1,0,1,1,0,1,NA,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,NA,NA,NA,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,NA,1,0,NA,1,1,1,0,0,1,1,1,1
"VAN (Federalist NY-7)",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,NA,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,NA,0,0,NA,1,NA,1,1,1,0,0,1,1,1,1
"GLEN (Federalist NY-8)",1,1,0,1,0,0,1,NA,NA,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,NA,0,1,1,1,NA
"WILLIAMS (Federalist NY-9)",1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,NA,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,NA,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
"COOPER (Federalist NY-10)",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,1,NA,0,0,0,1,1,NA,0,1,1,0,0,0,NA,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,NA,NA,1,NA,0,1,0,1,1
"HOLLAND (R NC-1)",0,1,1,0,1,1,1,0,1,1,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"LOCKE (R NC-2)",0,NA,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,NA,1,0,1,0,NA,0,0,1,0,1,0,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,NA,1,0,NA,0,0,0,1,1,0,NA,0,0
"FRANKLIN (R NC-3)",1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,NA,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,NA,0
