"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95"
"RODNEY (R DE-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RODNEY (Federalist DE-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,1,0,0,NA,1,NA,0,0,0,NA,0,1,0,1,NA,NA,0,1,NA
"THOMPSON (R GA-98)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,1,NA,1,0,1,1,1,1,NA,NA,0,1,1,NA,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,NA,NA,0,1,1,1,1,0,1,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,NA
"TATTNALL (R GA-98)",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,1,1,1,0,0,0,0,NA,NA,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,NA,NA,1,1,0,1,NA,NA,1,1,1,0,1,0,0,NA,NA,NA,NA,1,0,1,1,1,0,1
"CUTHBERT (R GA-98)",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,NA,1,NA,1,0,0,1,1,1,1,1,1,0,0,1,NA,1,NA,1,NA,1,NA,NA,NA,1
"GILMER (R GA-98)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,0,1,0,0,NA,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,NA,0,0,0,0,NA,1,0,1,NA,1,0,0,0,1,0,0,1,0,0,0,1,NA,NA,1,0,NA,NA,0,0,1,0,NA,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,NA,NA,1
"REID (R GA-98)",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,1,NA,0,1,1,1,1,1,NA,0,1,1,1,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,NA,0,1,1,1,1,0,1,NA,1,1,NA,NA,1,0,0,1,1,0,0,1,0,1,1,1,NA,NA,NA,0,1,1
"ABBOTT (R GA-98)",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,1,0,0,0,0,0,1,0,0,NA,1,1,1,1,0,1,0,NA,1,NA
"COOK (R IL-1)",1,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,1,NA,1,0,NA,0,0,NA,1,0,NA,1,1,1,0,1,0,0,1,NA,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,NA,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,NA,NA,1,0,0,1,NA,1,NA,1,0
"HENDRICKS (R IN-1)",NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,0,0,0,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,NA,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JENNINGS (R IN-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,1,NA,1,0,0,1,1,0,1,NA,1,1,1,0,0,1,1
"TRIMBLE (R KY-1)",1,1,1,0,NA,0,1,1,1,0,1,1,1,1,NA,NA,1,0,NA,NA,NA,NA,1,0,0,NA,1,0,1,NA,1,1,NA,1,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,1,NA,NA,0,1,0,0,0,0,0,NA,0,1,1,1,0,1,1,1,NA,1,0,1,0,1,NA,NA,1,1,1,1,0,0,1,1,0,1,NA,0,1,1,1,0,NA,0
"WOODSON (R KY-2)",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,NA,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,NA,NA,1,0,0,0,1,NA
"JOHNSON (R KY-3)",1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,NA,1,0,1,NA,NA,NA,NA
"METCALFE (R KY-4)",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,NA,0,0,NA,1,NA,1,0,NA,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,NA,0,1,NA,0,0,NA,1,NA,1,0
"NEW (R KY-5)",1,1,0,NA,0,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,1,NA,0,NA,1,1,NA,1,0,1,NA,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,1,0,1,NA,NA,1,1,0,0,0,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,NA,1,0,0,NA,0,1,0,1,NA,0,NA,0,0,NA,0
"JOHNSON (R KY-6)",1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,NA,1,1,1,0,1,1,0,1,0,NA,1,0,0,0,NA,NA,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,NA,NA,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,NA,0,0,1,0,0,1,1,1,NA,0,1,0,NA,NA
"SMITH (R KY-7)",NA,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,NA,NA,1,1,1,1,0,0,1,0,NA,NA,1,1,0,0,NA,NA,1,0,NA,1,1,0,0,0,1,0,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1
"BRECKINRIDG (R KY-8)",NA,1,0,0,NA,0,1,1,1,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,0,1,NA,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,1,1,1,0,1,1,NA,NA,1,0,0,1,0,1,1,1
"MONTGOMERY (R KY-9)",1,1,1,NA,0,0,1,NA,0,0,0,1,1,1,NA,NA,NA,1,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,0,0,1,1,0,NA,1,NA,0,1,NA,1,1,NA,NA,0,0,0,1,1,1,0,1,NA,1,0,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,0,0,0,NA,1,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1
"HARDIN (R KY-10)",1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,NA,1,0,1,1,1,1,1,0,1,1,1,NA,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,NA
"JOHNSTON (R LA-1)",1,0,0,1,1,1,1,0,0,1,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,1,1,0,0,1,NA,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,0,1,1,1,1,0,0,0,0,1,0,NA,0,1,1,0,0,1,0,NA,1,0,NA,1,0,1,0,1,1,1,0,0,1,1
"DANE (Federalist ME-1)",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,NA,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,NA,NA,0,0,0,0,0,1,1,NA,0,0,NA,NA,0,1,1,1,1,1,1,1,0,0,0,1,1,0,NA,1,0,1,0,1,1,0,0,0,1,NA
"WHITMAN (Federalist ME-2)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,0,NA,0,1,1,0,0,1,0,1,NA,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARRIS (R ME-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,NA,0
"HILL (R ME-3)",1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,NA,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
"WILLIAMSON (R ME-4)",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,NA,0,1,0
"HERRICK (R ME-5)",1,1,0,1,0,1,0,1,NA,1,1,1,1,0,1,0,0,0,1,1,0,1,NA,1,1,0,0,1,0,NA,1,1,1,1,0,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,0,0,1,0,0,1,0,1,NA,1,1,1,1,NA,NA,1,1,NA,1,NA,0,1,1,0,0,1,1,0,0,NA,NA,NA,0,1,1,0,0,0,1,NA
"CUSHMAN (R ME-6)",0,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,NA,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"LINCOLN (R ME-7)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,NA,0,1,1,0,1,0,0,1,1,1,1,NA,0,0,0,1,0,1,0,1,0,0,1,0,0,NA,0,0,1,0
"NEALE (Federalist MD-1)",1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,NA,0,1,1,NA,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,NA,1,NA
"KENT (R MD-2)",1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,NA,NA,NA,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,0,1,0,1,1,1,0,1,NA,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1
"WARFIELD (Federalist MD-3)",1,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,0,0,0,NA,NA,1,1,0,1,1,0,0,1,1,1,NA,0,1,NA,0,1,1,NA,0,1,1,NA,NA,NA,NA,NA,1,0,0,NA,0,1,NA,NA,NA,1,0,0,1,NA
"NELSON (R MD-4)",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,NA,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,1,1,1,0,0,1,0,1,NA,0,NA,1,NA,NA,NA,NA
"LITTLE (R MD-5)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,1,0,1,1,1,1,0,0,1,1,1,NA,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,NA
"MCKIM (R MD-5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,NA,NA,0,1,1
"SMITH (R MD-5)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,NA,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COSDEN (R MD-6)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REED (R MD-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0,1,1,0,1,NA,0,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,NA,1,0,1,NA,0,1,NA,NA,1,1,0,NA,0,NA,1,0,0,1,0,1,1,0,NA,0,0,NA,NA,0
"WRIGHT (R MD-7)",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,NA,NA,1,1,1,1,0,1,1,0,1,NA,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,0,1,NA,NA,1,1,1,0,1,0,0,1,1,0,NA,1,0,1,NA,NA,NA,NA,0,0,1,NA
"BAYLY (Federalist MD-8)",0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,NA,NA,0,1,0,1,NA,1,1,0,1,0,1,NA,0,1,0,0,0,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,0,1,1,1,1,NA,0,0,NA,0,1,1,0,0,1,0,NA,NA,NA
"GORHAM (R MA-1)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,1,0,1,0,1,1,NA,1,0,0,1,1,NA,0,1,1,1,NA,NA,NA,1,NA,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,NA,NA,NA,NA,1,0,1,1,1,0,NA,0,0,1,1,0,0,1,0,1,0,0,NA,NA,0,NA,1,NA
"BARSTOW (R MA-2)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,0,0,0,1,1,0,1,0,0,NA,0,1,1,1,1,0,0,1,0,NA,1,NA,1,0,0,1,0,1,1,1,1,1,0,0,NA,NA,0,1,NA,1,NA,NA,NA,1
"NELSON (Federalist MA-3)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1,NA,1,NA,1,1,0,0,1,1,1,NA,1,1,NA,NA,1,NA,0,1,1,1,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,NA,NA,1,0,0,0,1,1,1,NA,1,1,1,0,NA,1,1,0,0,0,NA,NA,0,1,NA,1,0,0,1,1
"FULLER (R MA-4)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,NA,1,0,0,NA,0,1,1,0,1,0,1,1,0,1,0,1,NA,1,0,1,NA,1,NA,NA,1,NA,1,1,1,0,0,1,0,0,1,1,1,0,0,0,NA,NA,0,1,1,0,0,1,NA,1,0,0,1,1,0,0,1,0
