"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69"
"CARNES (NA GA-98)",1,1,NA,0,1,0,0,0,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,NA,NA,0,0,1,NA,1,1,1,1,1,1
"GREENUP (NA KY-1)",1,1,NA,1,1,0,0,NA,NA,0,1,1,1,1,NA,1,0,1,1,1,0,0,1,NA,1,0,NA,NA,0,NA,1,1,0,0,NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,0,1,NA,NA,1,NA,1,1,0
"ORR (NA KY-2)",1,1,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,NA,1,0,0,1,1,0,1,0,0,0,1,0,NA,NA,0,0,1,1,1,1,0,1,NA,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,NA
"DENT (NA MD-1)",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,NA,1,1,1,0,0,1,0,0,1,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,1,NA,1,1
"MERCER (NA MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUVAL (NA MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,NA,NA,0,0,1,1,1,1,1
"FORREST (NA MD-3)",0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDWARDS (NA MD-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,NA
"SPRIGG (NA MD-4)",0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1
"SMITH (NA MD-5)",NA,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA
"CHRISTIE (NA MD-6)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,NA,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,NA,NA,0,1,NA,NA,0,1,0,NA,1,0,NA,NA,NA,NA,NA,1,1,1,0
"HINDMAN (NA MD-7)",NA,NA,0,1,0,1,1,1,0,1,NA,0,0,0,0,0,1,0,1,0,NA,NA,0,0,0,0,0,0,1,1,0,1,1,NA,0,1,0,1,1,0,1,1,NA,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,NA,NA,0,0,0,0,0,0,1
"MURRAY (NA MD-8)",0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,NA,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,NA,1,1,0,0,0,0,0,0,1
"GOODHUE (NA MA-1)",0,0,1,NA,0,1,1,0,1,1,0,0,0,0,NA,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,NA,NA,0,NA,1,1,1,0,1,0,1,1,0,NA,1,NA,NA,NA,1,0,1,NA,1,1,1,0,0,0,NA,0,0,0,NA
"HOLTEN (NA MA-1)",0,0,1,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"AMES (NA MA-1)",0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"DEXTER (NA MA-1)",0,1,1,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,1,1,NA,0,0,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,0,NA,NA,0,NA,0,1,1
"LYMAN (NA MA-2)",0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,NA,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,NA,0,1,0,1,NA,1,1,1,0,1,1,1,1,1,0
"WARD (NA MA-2)",0,0,1,0,0,0,1,NA,0,1,0,0,0,0,0,0,NA,0,0,NA,1,NA,0,0,0,1,0,0,1,1,0,NA,1,NA,0,NA,0,1,0,NA,1,1,NA,0,1,0,1,1,0,NA,NA,1,NA,NA,1,0,1,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"FOSTER (NA MA-2)",0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"SEDGWICK (NA MA-2)",NA,NA,NA,NA,NA,1,1,0,1,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,NA,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,NA,0,0,0,0,0,1
"BOURNE (NA MA-3)",0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,0,NA,0,NA,0,0,NA
"COFFIN (NA MA-3)",0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"DEARBORN (NA MA-4)",1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,NA,1,NA,1,0,NA,1,1,1,1,1,1,NA,0,NA,0,NA,0,1,0,1,1,1,0,1,0,1,1,NA,NA,0,NA
"WADSWORTH (NA MA-4)",0,0,1,0,0,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,1,0,0,1,1,0,NA,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,NA,0,0,0,NA,0,1
"THACHER (NA MA-4)",0,0,1,NA,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,NA,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"COBB (NA MA-99)",0,0,0,NA,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,NA,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"GILMAN (NA NH-98)",0,0,1,NA,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,NA,1,0,0,0,NA,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,NA,1,NA,1,0,NA
"WINGATE (NA NH-98)",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0
"SMITH (NA NH-98)",0,0,1,NA,0,1,NA,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,1,1,0,0,1,0,0,NA,0,NA,0,NA,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,NA,0,NA,NA,0,0,0,1
"SHERBURNE (NA NH-98)",1,0,0,NA,1,1,0,0,1,NA,0,0,1,1,1,1,0,0,0,0,1,1,NA,0,1,0,0,0,1,1,0,1,1,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,NA,1,NA,0,0,1
"BEATTY (NA NJ-98)",1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,NA,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,NA,1,0,1,0,1,1,NA,NA,0,0,NA,0,1,0,NA
"BOUDINOT (NA NJ-98)",0,0,1,1,0,NA,1,1,0,1,NA,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"CADWALADER (NA NJ-98)",0,0,0,1,0,1,1,NA,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,NA,1,NA,0,NA,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,1,1,0,0,NA,0,0,0,0,0
"DAYTON (NA NJ-98)",0,NA,1,1,0,1,1,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,1,0,0,0,1,1,0,1,1,1,0,1,1,0,NA,NA,1,NA,1,0,NA,NA,NA,NA,0,1,1,1,1,NA,1,0,1,NA,1,1,0,1,0,0,0,0,NA,NA,0
"CLARK (NA NJ-98)",1,0,1,0,1,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,NA,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,NA,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KITCHELL (NA NJ-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,1,0,0
"WATTS (NA NY-1)",0,0,0,1,0,NA,1,0,1,1,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,NA,1,1,0,1,0,1,1,1,1,NA,NA,NA,0,NA,0,0,0,1
"TREDWELL (NA NY-2)",1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,NA,1,1,1,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,0,0,NA,1,0,1,0,0,1,0,NA,0,0,1,0,1,0,0,0,0,0,1,NA,1,1,1,1,1,0
"VANCORTLAND (NA NY-3)",1,1,1,0,1,1,NA,0,1,0,1,1,1,NA,NA,NA,0,0,1,1,1,0,0,1,0,0,NA,0,0,0,1,1,0,NA,NA,0,0,1,0,0,0,0,1,1,0,1,0,1,1,NA,NA,1,0,1,0,1,0,1,0,1,0,1,NA,0,1,1,1,1,1
"VANGAASBECK (NA NY-4)",0,0,0,NA,0,1,NA,0,1,1,1,0,0,0,NA,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,NA,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"BAILEY (NA NY-5)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,NA,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
"GILBERT (NA NY-6)",0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,NA,NA,0,0,0,1
"VAN (NA NY-7)",0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,NA,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,NA,1,0,0,0,0,0,0,0,NA
"GLEN (NA NY-8)",0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,1,0,1,0,1,0,1,0,1,1,0,1,NA,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,NA,0,NA
"GORDON (NA NY-9)",NA,NA,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,NA,NA,1,NA,1,NA,1,0,1,1,0,0,1,1,1,NA,1,0,1,1,NA,1,1,0,NA,0,0,0,0,0,1
"TALBOT (NA NY-10)",0,0,1,1,0,1,1,1,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,NA,NA,NA,NA,0,1,0,1,1,0,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCDOWELL (NA NC-1)",1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,NA,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,NA,0,0,1,0,1,0,0,0,0,0,1,1,1,1,NA,1,1,0
"LOCKE (NA NC-2)",1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,NA,NA,NA,NA,1,NA,NA,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
"WINSTON (NA NC-3)",NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
"MEBANE (NA NC-4)",1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,NA,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,NA,0,NA,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0
"MACON (NA NC-5)",1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,NA,NA,0,1,1,1,1,1,1,1,0
"GILLESPIE (NA NC-6)",NA,0,1,1,1,0,0,0,1,0,1,NA,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,NA,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,1,NA,NA,NA
"GROVE (NA NC-7)",1,1,1,NA,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,NA,NA,0,0,1,0,0,0,1,1,NA,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
"DAWSON (NA NC-8)",1,1,1,1,NA,0,0,0,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,NA,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,1,0,0,NA,1,1
"BLOUNT (NA NC-9)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,NA,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
"WILLIAMS (NA NC-10)",1,1,1,0,1,0,NA,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,NA,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,0,1,0,1,1,0,1,NA,NA,0,NA
"MONTGOMERY (NA PA-98)",1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,NA,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,NA,1,NA
"IRVINE (NA PA-98)",1,1,0,1,1,1,NA,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,1,1,1
"MUHLENBERGF (NA PA-98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGG (NA PA-98)",1,NA,NA,0,1,1,0,NA,NA,NA,0,1,1,1,1,NA,1,1,0,1,0,NA,0,NA,0,0,0,1,1,0,0,1,1,NA,1,0,0,1,1,0,0,NA,1,NA,NA,1,1,1,1,1,1,0,0,NA,0,1,0,1,1,1,0,1,0,0,0,NA,0,NA,NA
"HARTLEY (NA PA-98)",0,1,0,1,0,1,1,NA,NA,NA,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,1,1,0,NA,0,1,1,0,1,1,1,0,NA,NA,NA,1,1,1,1,1,NA,NA,1,0,1,NA,1,1,1,0,0,0,0,0,0,NA,NA
"SMILIE (NA PA-98)",1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,NA,1,0,0,1,0,0,1,NA,1,0,0,0,1,0,1,0,0,1,1,0,0,0,NA,0,1,0,0,NA,NA,0,1,NA,1,1,1,1,1,1
"MUHLENBERGJ (NA PA-98)",0,1,0,1,1,NA,NA,0,1,1,0,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,NA,0,1,1,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,0,1,0,NA,NA,1,1,1,NA
"HIESTER (NA PA-98)",1,1,1,0,1,NA,NA,1,1,0,0,0,0,0,0,NA,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,NA,1,NA,0,0,0,0,1,0,1,0,0,1,NA,0,1,0,1,0,1,0,1,NA,1,0,1,NA,NA,NA,1,1,NA,1
"ARMSTRONG (NA PA-98)",0,1,0,1,0,1,1,NA,NA,NA,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,0,0,1,0,0,1,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,1,1,0,1,1,0,NA,NA,NA,0,0,1,NA
