"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106"
"FOLGER (R MA-9)",1,0,0,0,0,0,1,0,1,0,1,1,NA,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,NA,0,1,1,1,0,0,1,NA,NA,1,0,1,1,0,0,NA,0,1,0,1,0,0,1,NA,1,NA,1,0,NA,0,1,0,NA,1,1,NA,0,0,0,0,0,0,0,1,1,1,0,NA,1,NA,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
"MORTON (R MA-10)",1,0,1,1,1,0,1,0,1,0,1,NA,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,NA,NA,0,1,NA,NA,1,NA,0,0,0,0,0,NA,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,NA,1,1,0,NA,NA,NA,0,0,1,1,1,1,1,0,0,1,0,NA,1,1,1,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA
"ADAMS (Federalist MA-11)",1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,NA,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
"STRONG (Federalist MA-12)",1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,NA,0,0,0,0,NA,0,1,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUGGLES (Federalist MA-13)",1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,NA,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,NA,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
"HOLMES (R MA-14)",1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,NA,1,0,1,1,1,0,0,1,0,0,1,1,NA,0,1,0,1,0,0,1,0,1,0,NA,1,1,0,0,1,NA,1,1,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1
"WHITMAN (Federalist MA-15)",1,0,0,1,0,0,1,0,1,0,1,0,1,NA,0,NA,0,NA,0,1,0,0,1,1,0,NA,0,1,0,NA,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,0,1,0,1,NA,1,0,NA,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,NA,NA,1,NA,NA,NA,1,1,0,1,1,1,1,0,NA,0,1,0
"ORR (Federalist MA-16)",1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,1,1,0,NA,0,1,1,0,0,NA,1,1,1,0,0,0,NA,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,0,1,NA
"WILSON (Federalist MA-17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,0,0,1,1,0,0,NA,NA,1,NA,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,NA,0,0,1,0,1,NA,1,1,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,1,0,1,1,0,0,0,1,NA,0,1,0,1,1,1,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,1,1
"RICE (Federalist MA-18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,NA,NA,0,1,1,0,1,0,0,NA,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,1,0,0,1,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,0,NA,NA,1,1,0,0,1,0,1,1,0,0,0,1,NA,1,0,0,0,0,NA,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,NA
"GAGE (R MA-19)",1,0,1,1,1,1,1,0,1,0,1,0,1,NA,0,1,1,1,0,1,NA,1,NA,0,1,1,0,0,1,1,0,1,1,NA,1,1,0,0,1,0,1,0,1,0,1,NA,NA,1,NA,0,0,0,0,0,1,0,1,0,0,1,1,0,NA,1,0,NA,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,NA,0,NA,0,1,1,1,NA,NA,NA,0,0,1,1,1,NA,NA,NA,1,0,1,NA
"PARRIS (R MA-20)",1,0,1,1,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINCOLN (R MA-20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,1,0,0,1,1,1,NA,0,NA,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,1,NA,NA,NA,1,0,1,1
"POINDEXTER (R MS-1)",NA,1,0,0,1,0,0,1,0,1,0,NA,1,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,NA,0,1,1,0,1,1,0,NA,1,1,1,1,0,NA,NA,NA,1,0,NA,NA,1,0,1,1,0,1,0,0,1,1,1,NA,NA,1,0,0,1,1,1,0,1,0,1,1,0,0,0,NA,NA,NA,1,1,0,1,1,0,0,1,0,1,0,NA
"CLAGETT (R NH-98)",1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,NA,NA,NA,0,NA,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,0,0,1,1,1,0,0,NA,NA,NA,NA,NA
"BUTLER (R NH-98)",1,0,0,0,0,1,1,0,1,0,1,1,NA,0,NA,1,0,1,0,1,1,1,0,0,1,1,0,0,1,NA,1,0,0,0,0,0,0,0,1,NA,0,NA,0,NA,1,NA,NA,0,0,0,0,0,NA,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERMORE (R NH-98)",1,0,0,0,1,0,0,1,NA,NA,NA,1,0,0,0,0,1,1,NA,0,0,1,1,1,0,1,NA,0,1,0,0,1,1,1,1,1,NA,0,1,NA,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,NA,0,0,1,NA,1,0,1,1,0,NA,0,0,1,0,1,0,0,NA,1,0,0,1,1,1,1,1,1,0,1,0,1,NA,1,1,1,1,1,0,0,0,1,1,NA,1,1,1,1,0,1,1
"PARROTT (R NH-98)",1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,NA,NA,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,NA,1,0,1,0,0,1,NA,1,NA,NA,NA,0,NA,1,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,NA,0,0,0,1,0,1
"HALE (R NH-98)",1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,NA,0,1,1,NA,0,1,NA,0,0,NA,NA,1,0,0,0,0,0,0,0,1,NA,0,1,NA,1,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,1,NA,1,0,1,0,1,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,NA,NA,0,0,0,1,1,1,1,1,0,1,0,1,NA
"UPHAM (R NH-98)",1,0,0,0,1,1,1,0,1,NA,1,1,0,0,0,1,1,1,0,0,1,1,NA,1,1,1,0,0,1,NA,0,1,1,1,1,1,0,0,1,NA,0,NA,1,0,0,0,NA,1,NA,NA,0,0,0,1,1,0,NA,NA,0,1,0,0,1,1,1,NA,0,0,1,0,1,1,0,1,1,1,NA,1,0,NA,1,1,1,0,1,0,NA,1,1,1,1,NA,NA,0,0,0,1,1,1,NA,NA,0,1,0,1,1
"LINN (R NJ-98)",1,0,0,1,1,1,0,1,1,1,1,1,0,1,NA,1,NA,0,0,0,NA,NA,NA,NA,1,1,0,0,0,1,0,1,1,1,NA,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
"KINSEY (R NJ-98)",1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,NA,0,0,1,0,1,0,0,1,1,1,0,0,1,0,NA,NA,NA,0,0,0,1,NA,0,0,NA,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,NA
"BENNET (R NJ-98)",1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0
"BATEMAN (R NJ-98)",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,NA,0,NA,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,NA,NA,NA,0,0,0,1,0,1,NA,0,NA,1,0,NA,1,0,1,0,0,1,1,1,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,NA,1,0,NA,1,1,1,1,1,0,0,0,1,1,1,NA,1,1,1,0,1,0
"BLOOMFIELD (R NJ-98)",1,1,0,1,1,1,1,0,NA,0,1,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,NA,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,NA
"SOUTHARD (R NJ-98)",1,0,1,1,1,0,NA,0,0,1,1,0,1,1,NA,1,1,0,0,1,NA,NA,0,0,NA,NA,0,0,NA,0,0,1,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,NA,NA,NA,NA,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
"SCUDDER (R NY-1)",1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA
"TOWNSEND (R NY-1)",1,NA,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,0,1,1,0,1,0,NA,1,NA,0,NA,NA,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,NA,1,0,0,0,NA,NA,1,1,0,1,1,NA,1,0,0,1,0,0,1,1,NA,0,0,0,1,0,1,0,0,NA,0,NA,0,1,0,0,NA,NA,NA,NA,0,1,NA,NA,1,1,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA
"IRVING (R NY-2)",1,1,0,1,0,1,NA,0,1,0,0,0,1,0,0,0,0,1,0,1,NA,0,0,0,NA,1,0,0,1,1,0,1,1,0,1,1,NA,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,NA,1,0,1,1,0,0,0,1,0,0,NA,1,1,1,1,1,1,0,0,0,1,NA,NA,1,1,1,1,0,1,1
"WENDOVER (R NY-2)",1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,NA,1,0,0,0,1,0,0,1,NA,NA,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,NA,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,NA,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,NA
"TOMPKINS (R NY-3)",1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,NA,NA,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,NA,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,NA
"TALLMADGE (R NY-4)",1,1,0,0,0,1,1,0,1,0,1,0,1,NA,0,1,1,1,0,1,0,1,1,1,0,1,0,0,NA,1,0,1,1,1,1,1,1,0,1,0,NA,1,0,0,1,0,1,1,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,NA,1,1,0,1,1,NA,NA,NA,NA,0,0,NA,1,1,1,1,1,1,0,0,0,1,1,1,NA,1,1,1,0,1,0
"SCHUYLER (Federalist NY-5)",NA,NA,0,0,0,1,1,0,1,0,1,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,0,NA,NA,0,1,1,0,1,1,0,1,1,1,1,NA,1,0,0,0,0,0,NA,NA,1,1,1,0,1,NA,1,NA,NA,NA,1,1,0,NA,NA,0,0,1,0,0,1,0,1,NA,0,1,0,NA,1,1,NA,1,1,0,0,0,1,1,0,1,NA,1,NA,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,1,0,1,0
"WILKIN (R NY-6)",1,1,0,1,1,1,NA,NA,NA,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,NA,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,1,0,1,0,1,NA,0,1,0,NA,0,0,1,1,NA,NA,0,1,0,0,1,0,1,NA,NA,1,0,NA,1,1,0,1,1,1,1,1,0,NA,0,1,1,1,1,1,NA,NA,NA,0,0,1,1,1,0,NA,1,1,0,1,NA
"HASBROUCK (R NY-7)",1,1,0,0,0,0,NA,NA,NA,0,NA,1,1,NA,1,NA,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,NA,1,0,0,1,1,0,0,1,0,1,0,0,1,NA,0,1,1,0,NA,0,0,1,0,1,1,0,NA,1,1,NA,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,1,1,0,1,NA
"KIRTLAND (R NY-8)",1,0,0,0,0,1,0,1,0,1,0,1,0,NA,0,NA,1,NA,0,0,0,1,NA,1,1,1,0,0,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,1,0,0,NA,0,1,0,1,1,0,0,0,1,1,NA,1,0,0,1,0,NA,0,0,1,NA,0,0,1,NA,1,1,0,1,1,1,NA,NA,0,1,1,1,1,0,0,0,1,NA,1,1,1,NA,1,0,0,0,1,1,1,0,0,0,1,0,NA,NA
"WESTERLO (Federalist NY-9)",1,1,1,1,1,NA,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,NA,NA,1,0,1,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,0,0,1,0,0,1,0,0,NA,0,0,0,NA,1,1,0,1,1,0,0,0,1,1,0,1,NA,1,NA,1,NA,1,0,0,0,1,NA,NA,NA,0,0,1,0,1,1
"CUSHMAN (Federalist NY-10)",1,1,0,0,0,1,1,0,1,0,1,1,0,NA,0,1,0,1,0,0,0,1,1,1,0,NA,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,1,NA,0,NA,0,1,1,0,0,1,0,1,1,0,NA,1,1,1,0,1,1,0,0,0,1,1,0,1,NA,1,1,1,1,1,0,0,0,1,1,1,NA,NA,0,1,0,1,NA
"TAYLOR (R NY-11)",1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,NA,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,NA
"SAVAGE (R NY-12)",1,NA,0,0,1,1,1,0,1,NA,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,NA,0,1,0,NA,NA,0,0,1,0,0,1,0,0,1,1,0,0,1,NA,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA
"PALMER (R NY-12)",1,1,0,0,0,1,1,0,1,0,0,NA,0,1,1,0,1,1,0,1,0,1,NA,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,NA,1,0,1,0,0,1,1,0,0,0,1,NA,0,NA,1,NA,0,1,1,1,NA,1,1,0,1,1,1,1,0,0,0,0,1,NA,1,1,1,1,1,0,0,0,1,NA,NA,0,1,1,1,0,1,1
"LAWYER (R NY-13)",1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,NA,0,0,0,1,0,1,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA
"HERKIMER (R NY-14)",1,0,0,1,1,1,0,1,0,1,NA,1,0,NA,1,0,1,1,0,1,0,1,0,0,NA,NA,0,0,0,1,0,1,1,0,1,1,1,0,1,NA,1,1,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,NA,NA,NA,0,0,1,1,1,NA,NA,0,1,0,1,NA
"WILLIAMS (R NY-15)",1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,NA,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0,0,1,1,0,1,1,NA,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA
"DRAKE (R NY-15)",1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,0,NA,1,1,1,0,1,0,0,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,1,0,1,0,NA,1,0,1,0,0,1,1,1,NA,NA,1,0,0,0,NA,0,1,0,0,NA,1,0,0,0,0,NA,1,1,1,0,1,NA,NA,NA,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,1
"STORRS (Federalist NY-16)",0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,NA,NA,0,1
"HUBBARD (R NY-17)",1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,NA,0,1,NA,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,NA,1,0,0,NA,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,NA,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,NA,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1
"OGDEN (Federalist NY-18)",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,NA,1,0,0,1,0,0,0,NA,1,1,0,NA,NA,NA,1,1,0,1,1,0,1,1,1,NA,NA,1,0,0,0,0,0,NA,NA,1,1,1,0,1,NA,1,1,0,1,0,0,1,NA,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,NA,1,0,0,0,0,1,0,0
"PORTER (R NY-19)",NA,1,0,0,1,1,0,1,0,1,1,1,0,1,NA,1,0,1,0,1,0,1,1,1,NA,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,NA,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,NA,1,1,0,0,1,1,1,NA,NA,0,1,1,1,1,1,0,1,0,NA,1,NA,NA,NA,0,NA,NA,0,0,0,1,1,1,NA,1,NA,NA,NA,NA
"CRUGER (R NY-20)",1,1,0,0,1,1,0,1,0,1,0,1,0,1,NA,0,0,1,0,1,0,1,1,1,1,NA,0,0,1,1,0,1,1,0,1,1,NA,0,1,0,1,1,0,NA,1,NA,NA,1,1,1,0,1,0,0,1,0,1,0,0,1,1,NA,0,0,1,0,1,NA,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,NA,0,1,1,1,0,1,1,1,1,0,NA,1,NA,NA
"COMSTOCK (R NY-20)",1,0,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,0,1,1,1,0,1,1,1,0,0,0,1,NA,0,1,1,0,1,1,0,1,1,NA,0,1,0,1,NA,1,0,0,1,1,1,1,0,NA,1,NA,0,1,0,NA,NA,0,1,NA,1,0,1,NA,0,0,1,0,1,0,0,1,1,1,NA,1,0,NA,NA,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,NA,NA,1,1,0,1,1
"SPENCER (R NY-21)",1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,NA,1,0,1,0,0,1,1,NA,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,1,NA,1,1,1,1,1,0,0,0,1,1,0,1,1,1,NA,NA,NA,NA
"ELLICOTT (R NY-21)",1,1,1,1,1,1,1,0,1,0,1,1,0,1,NA,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,NA,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,NA,1,1,1,NA,1,NA,0,0,1,NA,NA,NA,NA,0,1,0,1,1
"SAWYER (R NC-1)",1,1,1,1,0,0,0,1,0,NA,1,1,NA,1,NA,1,0,0,0,NA,0,1,0,NA,1,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,NA,0,0,1,0,1,1,0,0,1,1,NA,0,1,0,0,1,0,1,1,1,1,0,0,0,1,NA,1,1,0,0,NA,0,1,0,NA,1,1,1,NA,NA,0,1,NA,0,0,0,NA,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA
