"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102"
"WILLIS (NA GA-3)",1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,NA,NA,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,NA,NA,1,0,NA,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,NA,1,0,NA,NA,0,0,0,1,NA,0,0,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,1,1
"GREENUP (NA KY-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1,1,1,1,1,1,0,0,1,0,0,1,1,NA,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,0,0
"ORR (NA KY-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,NA,1,0,0,0,1,NA,0,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0
"KEY (NA MD-1)",NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,NA,0,1,NA,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,0,0,0,1,NA,NA,NA,1,1,1,NA,NA,1,0,NA,NA,NA,0,1,0,1,0,0,0,1,NA,1,0,1,1,1,1,1,NA,NA,NA,1,NA
"SENEY (NA MD-2)",1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,NA,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HINDMAN (NA MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,NA,NA
"PINKNEY (NA MD-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MERCER (NA MD-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,0,NA,0,NA,NA,1,0,0,1,1,1,0,NA,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,NA,NA,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
"STERETT (NA MD-4)",NA,NA,NA,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,NA,0,1,0,NA,NA,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,NA,NA
"MURRAY (NA MD-5)",1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,NA,1,0,0,0,0,1,1,0,0,0,0,NA,0,1,NA,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,NA,NA,NA,1,0
"SHERIDINE (NA MD-6)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,NA,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMES (NA MA-1)",0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,0,1,1,0,1,NA,NA,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,NA,0,0,0,0,0,NA,1,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"GOODHUE (NA MA-2)",0,1,0,1,1,1,0,0,0,NA,NA,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,NA,0,0,0,1,1,NA,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,NA
"GERRY (NA MA-3)",1,0,NA,1,0,0,1,0,1,0,1,0,0,NA,NA,1,0,1,NA,NA,NA,1,NA,0,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,0,0,1,1,0,1,1,1,1,0,0,0,1,1,NA,1,0,1,NA,NA,0,0,NA,NA,0,0,0,1,0,0,NA,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA
"SEDGWICK (NA MA-4)",0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"BOURNE (NA MA-5)",0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,NA,NA,NA,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"LEONARD (NA MA-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA
"WARD (NA MA-7)",0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,NA,NA,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,NA,NA,1,1,0,0,1,1,0,0,NA,0,0,0,0,1,1,1,NA,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,NA
"THACHER (NA MA-8)",0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,NA,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,NA,0,0,1,1,NA,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,NA,1,0,1,1,1,1,1,1,1,1,1
"LIVERMORE (NA NH-98)",0,1,0,1,1,1,0,0,0,0,1,1,1,1,NA,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
"SMITH (NA NH-98)",0,1,0,1,1,1,0,0,0,0,0,1,1,NA,0,1,1,1,NA,1,0,0,NA,0,1,0,NA,1,1,0,0,1,1,1,1,1,1,NA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,1,1,1,0,1,0,1,0,0,0,NA,0,0,0,1,NA,1,1,NA,1,1,1,1,1,1,1,0,0
"GILMAN (NA NH-98)",0,1,0,1,1,1,0,0,NA,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,NA,NA,1,1,0,1,1,0,1,1,0,NA,0,0,0,1,NA,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"KITCHELL (NA NJ-98)",1,1,1,1,1,NA,NA,NA,0,0,0,1,1,0,1,NA,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"DAYTON (NA NJ-98)",NA,1,0,1,1,1,0,NA,NA,NA,NA,1,1,0,1,1,NA,NA,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,0,1,0,NA,NA,0,0,0,0,NA,0,0,0,0,1,NA,1,1,0,0,NA,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,NA
"BOUDINOT (NA NJ-98)",0,1,0,1,1,1,0,0,0,0,0,1,1,1,NA,1,0,0,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,0,1,0,0,1,1,1,NA,0,0,1,0,NA,NA,1,0,0,1,0,0,1,1,NA,1,1,0,1,0,NA,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,0
"CLARK (NA NJ-98)",0,NA,NA,1,1,1,0,0,0,0,0,1,1,NA,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,0,0
"TREDWELL (NA NY-1)",1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,NA,0,1,1,0,0,0,1,0,1,0,1,NA,0,0,0,0,1,0,1,NA,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1
"LAURANCE (NA NY-2)",1,0,1,NA,NA,0,1,NA,NA,1,1,0,0,0,NA,1,NA,0,0,0,1,1,1,NA,NA,1,1,1,1,0,0,NA,1,0,1,1,1,1,NA,NA,NA,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,NA,0,0,NA,1,0,NA,NA,0,0,0,0,1,1,NA,NA,1,0,0,NA,0,1,1,1,NA,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"BENSON (NA NY-3)",1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,NA,0,0,0,0,0,NA,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1
"SCHOONMAKER (NA NY-4)",NA,0,1,1,0,0,1,0,0,0,0,1,0,0,NA,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,NA,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,NA,1,0,0,0,0,NA,0,1,0,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,1,1,NA,1,0,0,0,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SILVESTER (NA NY-5)",1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,NA,1,NA,NA,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,0,0
"GORDON (NA NY-6)",1,0,1,1,1,1,0,0,0,0,1,NA,0,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,NA,NA,1,0,1,NA,NA,0,0,0,1,0,0,1,0,0,1,1,1,0,NA,1,0,1,1,1,0,1,1,1,NA,0,0,0,0,NA,0,0,NA,NA,1,1,1,1,1,1,1,0,0,NA,NA,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,NA
"STEELE (NA NC-1)",0,1,NA,1,0,0,NA,NA,NA,0,1,0,1,1,0,0,1,NA,0,NA,NA,NA,NA,0,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,NA,0,0,1,0,1,1,1,NA,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0
"MACON (NA NC-2)",0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,1,1,1,NA,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASHE (NA NC-3)",0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,NA,NA,0,1,1,0,0,1,1,1,1,0,1,0,NA,NA,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA
"WILLIAMSON (NA NC-4)",NA,0,1,0,0,0,1,1,1,0,0,0,0,1,NA,0,1,1,NA,NA,NA,0,1,0,1,0,0,0,1,NA,0,1,0,NA,0,1,1,1,0,0,1,NA,NA,NA,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,NA,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,1,NA,0
"GROVE (NA NC-5)",0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,NA,0,1,0,1,1,0,NA,NA,NA,1,1,0,1,0,NA,NA,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,1,0,NA,NA,1,1,1,1,1,NA,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
"FITZSIMONS (NA PA-1)",1,NA,NA,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,NA,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
"MUHLENBERG (NA PA-2)",1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,NA,0,0,1,0,1,1,1,1,0,NA,NA,NA,0,1,0,0,1,NA,NA,1,NA,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,NA,0,0,1,0,1,1,0,0,1,1,1,NA,NA,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,NA,1,0,1,NA,1,1,1,1,1,1,1,0
"JACOBS (NA PA-3)",1,0,1,0,1,1,0,1,1,0,0,1,1,NA,0,NA,1,1,NA,1,0,1,1,1,NA,NA,1,0,1,0,1,1,1,1,1,0,1,0,1,NA,NA,1,1,0,0,0,1,1,0,0,NA,NA,1,NA,0,NA,0,0,0,NA,1,NA,0,0,0,NA,0,0,NA,NA,1,1,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIESTER (NA PA-4)",1,0,1,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,NA,0,1,0,0,1,1,1,1,0,1,NA,0,0,0,0,0,1,1,0,1,1,NA,0,NA,NA,0,NA,1,1,0,0,1,0,1,1,1,0,0,0,0,0,NA,1,0,0,1,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
